iterations,fitness,time,fevals
0,22.0,0.000851944000001,731
10,24.0,0.001660236,1360
20,27.0,0.002562647,1982
30,26.0,0.003499269,2611
40,26.0,0.00439065999999,3235
50,27.0,0.00503189599999,3855
60,26.0,0.005655244,4494
70,27.0,0.006282406,5126
80,28.0,0.007646885,5761
90,29.0,0.008629388,6392
100,28.0,0.009243803,7034
110,29.0,0.010010096,7672
120,31.0,0.010617646,8304
130,32.0,0.011215831,8944
140,32.0,0.011844258,9581
150,32.0,0.012452531,10216
160,33.0,0.01313367,10841
170,32.0,0.013757353,11466
180,32.0,0.014718419,12103
190,32.0,0.015410411,12737
200,32.0,0.016096392,13367
210,32.0,0.016926184,13998
220,32.0,0.017572391,14628
230,33.0,0.018276294,15256
240,32.0,0.018963916,15893
250,33.0,0.019884068,16530
260,32.0,0.020645094,17155
270,33.0,0.021182244,17779
280,33.0,0.021734774,18407
290,33.0,0.022369704,19032
300,33.0,0.022941159,19662
310,34.0,0.023488947,20291
320,36.0,0.024028586,20926
330,34.0,0.024581118,21562
340,35.0,0.025097953,22180
350,34.0,0.025677845,22805
360,35.0,0.026292348,23443
370,35.0,0.027079294,24081
380,35.0,0.027756658,24709
390,35.0,0.028514077,25350
400,35.0,0.029594663,25982
410,35.0,0.030255475,26617
420,35.0,0.030823757,27251
430,36.0,0.031366335,27875
440,35.0,0.031983966,28500
450,35.0,0.032808306,29136
460,35.0,0.033480316,29771
470,34.0,0.034109859,30410
480,35.0,0.034977746,31036
490,35.0,0.039455197,31667
500,36.0,0.041865567,32302
510,36.0,0.042407948,32936
520,38.0,0.042941298,33570
530,52.0,0.0435454,34194
540,52.0,0.044109302,34825
550,55.0,0.04467714,35453
560,52.0,0.045314095,36081
570,53.0,0.046781929,36703
580,52.0,0.047577688,37338
590,53.0,0.04856477,37973
600,53.0,0.050075048,38595
610,53.0,0.050826191,39233
620,53.0,0.05140624,39871
630,52.0,0.052011037,40504
640,51.0,0.052596137,41137
650,52.0,0.053205297,41761
660,52.0,0.053777609,42388
670,51.0,0.05431255,43016
680,52.0,0.055049332,43646
690,52.0,0.05571543,44271
700,51.0,0.056483079,44903
710,53.0,0.057325041,45544
720,52.0,0.058684534,46171
730,54.0,0.060057562,46785
740,54.0,0.060647543,47419
750,53.0,0.061169608,48051
760,55.0,0.061683666,48682
770,53.0,0.062206885,49311
780,54.0,0.062714179,49931
790,53.0,0.076925273,50565
800,54.0,0.077527669,51196
810,52.0,0.078124916,51833
820,53.0,0.078763117,52466
830,54.0,0.079479154,53087
840,53.0,0.080032343,53710
850,53.0,0.080775545,54327
860,53.0,0.08178288,54949
870,53.0,0.082463554,55565
880,54.0,0.083212052,56196
890,52.0,0.084317486,56836
900,53.0,0.086671575,57474
910,53.0,0.08728959,58107
920,53.0,0.087915443,58741
930,53.0,0.088505821,59371
940,51.0,0.089017071,59997
950,53.0,0.089564891,60623
960,53.0,0.090159993,61253
970,55.0,0.090918853,61890
980,54.0,0.091704974,62515
990,56.0,0.092637489,63141
1000,56.0,0.093727958,63759
1010,55.0,0.094725929,64384
1020,56.0,0.095813638,65002
1030,56.0,0.096432678,65623
1040,56.0,0.097040751,66264
1050,57.0,0.097608599,66894
1060,57.0,0.09830607,67527
1070,57.0,0.098961645,68146
1080,57.0,0.099568884,68776
1090,58.0,0.100241888,69419
1100,58.0,0.101046111,70040
1110,58.0,0.10161913,70661
1120,57.0,0.102474281,71298
1130,58.0,0.104494342,71923
1140,58.0,0.107174956,72563
1150,58.0,0.107987068,73194
1160,58.0,0.108605375,73832
1170,57.0,0.109163303,74477
1180,58.0,0.1099139,75113
1190,59.0,0.110439352,75748
1200,59.0,0.110993101,76379
1210,59.0,0.111594664,77010
1220,59.0,0.112434005,77643
1230,59.0,0.11312165,78279
1240,58.0,0.115421659,78901
1250,59.0,0.116342268,79529
1260,59.0,0.117221538,80165
1270,59.0,0.1177769,80798
1280,59.0,0.118384478,81437
1290,58.0,0.118965218,82056
1300,58.0,0.119506185,82681
1310,58.0,0.120021129,83308
1320,59.0,0.120577076,83945
1330,59.0,0.121136748,84573
1340,59.0,0.121740366,85203
1350,60.0,0.122299455,85819
1360,60.0,0.122919828,86435
1370,58.0,0.123752668,87064
1380,60.0,0.12460901,87697
1390,59.0,0.125955565,88335
1400,58.0,0.126808922,88967
1410,58.0,0.12747463,89602
1420,58.0,0.128050609,90246
1430,59.0,0.12855813,90890
1440,60.0,0.129128359,91523
1450,60.0,0.129675671,92150
1460,60.0,0.130226836,92772
1470,61.0,0.130780815,93401
1480,60.0,0.131368846,94022
1490,61.0,0.132168296,94651
1500,60.0,0.132715761,95276
1510,60.0,0.133271784,95911
1520,60.0,0.133936113,96548
1530,60.0,0.135615765,97170
1540,61.0,0.13654627,97815
1550,60.0,0.137229782,98444
1560,60.0,0.137898445,99079
1570,60.0,0.138487447,99719
1580,59.0,0.139048633,100345
1590,60.0,0.139630169,100984
1600,60.0,0.140217283,101623
1610,60.0,0.140791044,102252
1620,59.0,0.141492921,102892
1630,60.0,0.142057581,103526
1640,60.0,0.142824223,104159
1650,60.0,0.143883915,104785
1660,61.0,0.144406259,105401
1670,61.0,0.145394299,106021
1680,61.0,0.14618197,106668
1690,61.0,0.146715268,107299
1700,61.0,0.14735399,107940
1710,61.0,0.147878718,108578
1720,62.0,0.148421757,109209
1730,64.0,0.148966526,109855
1740,65.0,0.149527246,110492
1750,64.0,0.150035036,111122
1760,64.0,0.150565865,111755
1770,64.0,0.151075649,112373
1780,64.0,0.151794897,112987
1790,63.0,0.152559839,113607
1800,62.0,0.153460326,114238
1810,61.0,0.154621732,114869
1820,62.0,0.156425479,115499
1830,62.0,0.157074585,116115
1840,62.0,0.15765642,116748
1850,62.0,0.158198289,117377
1860,62.0,0.158741507,117997
1870,63.0,0.159403829,118638
1880,62.0,0.159993797,119282
1890,62.0,0.1605296,119917
1900,62.0,0.161068513,120548
1910,63.0,0.161599251,121182
1920,63.0,0.162220848,121814
1930,62.0,0.163088458,122448
1940,63.0,0.163876904,123088
1950,62.0,0.164720724,123712
1960,63.0,0.165323814,124343
1970,62.0,0.165927043,124983
1980,62.0,0.16653246,125598
1990,62.0,0.167069508,126216
2000,63.0,0.167622526,126857
2010,67.0,0.168147157,127491
2020,68.0,0.168647513,128115
2030,68.0,0.169213927,128745
2040,66.0,0.169707646,129381
2050,68.0,0.170470023,130015
2060,67.0,0.17126642,130640
2070,68.0,0.172072261,131283
2080,69.0,0.173697887,131910
2090,69.0,0.174461228,132535
2100,69.0,0.175306579,133166
2110,69.0,0.175929016,133805
2120,69.0,0.176498801,134429
2130,69.0,0.177038701,135060
2140,71.0,0.177571165,135697
2150,73.0,0.178086639,136330
2160,72.0,0.178619352,136972
2170,71.0,0.179143306,137602
2180,72.0,0.179651998,138235
2190,72.0,0.18030797,138862
2200,72.0,0.180835205,139492
2210,69.0,0.181643443,140121
2220,71.0,0.18236311,140754
2230,73.0,0.183935015,141384
2240,73.0,0.184940567,142015
2250,69.0,0.185887826,142640
2260,69.0,0.186411076,143261
2270,69.0,0.186923031,143886
2280,70.0,0.187414788,144522
2290,69.0,0.188050681,145155
2300,70.0,0.188537322,145780
2310,72.0,0.189133382,146421
2320,70.0,0.189681681,147047
2330,70.0,0.190195433,147667
2340,71.0,0.190746915,148302
2350,71.0,0.191506866,148930
2360,72.0,0.192154079,149551
2370,71.0,0.193621869,150184
2380,69.0,0.194764119,150816
2390,70.0,0.196951631,151448
2400,70.0,0.19750442,152075
2410,70.0,0.198048224,152718
2420,70.0,0.198545572,153348
2430,70.0,0.19904299,153982
2440,70.0,0.199535939,154615
2450,71.0,0.200037731,155254
2460,71.0,0.200537184,155880
2470,70.0,0.201093675,156520
2480,70.0,0.201648199,157146
2490,70.0,0.20253776,157774
2500,70.0,0.203678698,158410
2510,71.0,0.204678187,159033
2520,71.0,0.20546994,159659
2530,71.0,0.207183628,160283
2540,71.0,0.207700879,160920
2550,71.0,0.208284424,161541
2560,72.0,0.208864586,162164
2570,72.0,0.209523976,162785
2580,72.0,0.210031962,163417
2590,73.0,0.210569505,164060
2600,72.0,0.211216549,164701
2610,74.0,0.211963314,165337
2620,71.0,0.212715102,165978
2630,71.0,0.213769436,166621
2640,71.0,0.214631632,167253
2650,71.0,0.216315985,167894
2660,73.0,0.218265816,168516
2670,73.0,0.218781877,169143
2680,76.0,0.219333643,169772
2690,76.0,0.219914074,170411
2700,77.0,0.220596381,171043
2710,76.0,0.221125747,171686
2720,76.0,0.221683348,172314
2730,76.0,0.222282127,172961
2740,77.0,0.222924015,173596
2750,77.0,0.223459101,174242
2760,76.0,0.22422001,174872
2770,75.0,0.225336227,175499
2780,77.0,0.226291444,176139
2790,76.0,0.227501652,176778
2800,76.0,0.228314931,177413
2810,76.0,0.228845455,178049
2820,72.0,0.229391287,178669
2830,72.0,0.229884738,179283
2840,72.0,0.230364509,179909
2850,75.0,0.230863282,180538
2860,75.0,0.231354535,181180
2870,76.0,0.231931999,181810
2880,76.0,0.23257366,182446
2890,75.0,0.233201896,183076
2900,76.0,0.233929789,183699
2910,76.0,0.23496104,184323
2920,77.0,0.235959983,184964
2930,79.0,0.237815336,185600
2940,79.0,0.238455735,186223
2950,76.0,0.239054517,186860
2960,78.0,0.239611002,187494
2970,78.0,0.240098643,188118
2980,77.0,0.240567244,188735
2990,78.0,0.241049179,189359
3000,78.0,0.241521301,189988
3010,78.0,0.24200875,190620
3020,77.0,0.242517552,191242
3030,77.0,0.243199938,191864
3040,77.0,0.243854946,192508
3050,78.0,0.244601941,193135
3060,78.0,0.245549512,193754
3070,77.0,0.246987493,194381
3080,78.0,0.249414916,195017
3090,77.0,0.249958989,195654
3100,77.0,0.250497606,196287
3110,77.0,0.250993212,196915
3120,77.0,0.251494674,197540
3130,77.0,0.251974026,198166
3140,76.0,0.252484171,198810
3150,77.0,0.252972557,199435
3160,77.0,0.25348723,200064
3170,77.0,0.254073375,200696
3180,77.0,0.254627883,201322
3190,77.0,0.255147483,201951
3200,77.0,0.255908119,202569
3210,80.0,0.257099918,203188
3220,79.0,0.258133106,203821
3230,80.0,0.259083391,204451
3240,80.0,0.259816377,205075
3250,80.0,0.260400076,205699
3260,80.0,0.26093847,206332
3270,80.0,0.261414939,206971
3280,78.0,0.261901945,207590
3290,80.0,0.262398781,208217
3300,80.0,0.262964809,208848
3310,81.0,0.26361187,209484
3320,81.0,0.264375728,210118
3330,81.0,0.265126116,210749
3340,87.0,0.266087894,211375
3350,80.0,0.267414849,212004
3360,81.0,0.269881327,212619
3370,81.0,0.270507073,213258
3380,88.0,0.271086174,213898
3390,88.0,0.271627956,214527
3400,88.0,0.272179783,215169
3410,90.0,0.272698919,215814
3420,89.0,0.273187718,216447
3430,90.0,0.273665552,217079
3440,88.0,0.274155864,217705
3450,89.0,0.274893248,218335
3460,88.0,0.275606318,218963
3470,87.0,0.276726591,219587
3480,87.0,0.277571794,220221
3490,87.0,0.278492727,220844
3500,88.0,0.279348991,221470
3510,88.0,0.279838818,222100
3520,88.0,0.280412374,222737
3530,88.0,0.280991158,223360
3540,88.0,0.281464984,223983
3550,88.0,0.28213582,224612
3560,88.0,0.282626424,225245
3570,88.0,0.283150772,225883
3580,90.0,0.283670402,226500
3590,89.0,0.284197164,227129
3600,88.0,0.284880495,227764
3610,89.0,0.286131425,228390
3620,88.0,0.286968853,229022
3630,88.0,0.288196793,229649
3640,88.0,0.288769515,230286
3650,88.0,0.289323781,230919
3660,88.0,0.2898691,231545
3670,88.0,0.290397805,232181
3680,88.0,0.290940536,232813
3690,88.0,0.29159872,233447
3700,88.0,0.292206603,234073
3710,88.0,0.292736785,234686
3720,89.0,0.293532844,235320
3730,89.0,0.294258439,235942
3740,88.0,0.294975893,236560
3750,88.0,0.296277722,237175
3760,90.0,0.297431103,237810
3770,91.0,0.298939507,238450
3780,90.0,0.299444026,239075
3790,89.0,0.300027376,239710
3800,88.0,0.300579566,240338
3810,88.0,0.301126933,240963
3820,89.0,0.301650292,241595
3830,90.0,0.302180154,242225
3840,88.0,0.302710126,242863
3850,89.0,0.303347294,243489
3860,89.0,0.304072109,244141
3870,88.0,0.304882353,244773
3880,96.0,0.305821827,245415
3890,89.0,0.30695134,246045
