iterations,fitness,time,fevals
0,25.0,0.090189141,1000
10,28.0,0.176671972,2100
20,31.0,0.303581917,3200
30,32.0,0.418977618,4300
40,39.0,0.500608812,5400
50,37.0,0.571465412,6500
60,40.0,0.639020007,7600
70,38.0,0.706310896,8700
80,39.0,0.77339105,9800
90,43.0,0.847677077,10900
100,43.0,0.921260754,12000
110,49.0,0.986413744,13100
120,48.0,1.052420514,14200
130,51.0,1.119794156,15300
140,51.0,1.182223852,16400
150,52.0,1.25101452,17500
160,51.0,1.327498086,18600
170,50.0,1.388639855,19700
180,51.0,1.452225083,20800
190,52.0,1.513454293,21900
200,51.0,1.574011351,23000
210,51.0,1.636969034,24100
220,51.0,1.711458916,25200
230,50.0,1.778307743,26300
240,53.0,1.840720523,27400
250,51.0,1.903777492,28500
260,51.0,1.966350103,29600
270,51.0,2.028833127,30700
280,52.0,2.092660805,31800
290,52.0,2.173781709,32900
300,52.0,2.243718201,34000
310,52.0,2.306089478,35100
320,52.0,2.369712998,36200
330,52.0,2.432898273,37300
340,52.0,2.499449764,38400
350,52.0,2.57322569,39500
360,53.0,2.64094707,40600
370,55.0,2.708114691,41700
380,54.0,2.77059023,42800
390,55.0,2.83110968,43900
400,54.0,2.894103142,45000
410,55.0,2.970128555,46100
420,55.0,3.044714939,47200
430,57.0,3.106346233,48300
440,56.0,3.169155761,49400
450,53.0,3.23278575,50500
460,54.0,3.296109324,51600
470,55.0,3.363443179,52700
480,58.0,3.427304299,53800
490,55.0,3.492434977,54900
500,59.0,3.560488922,56000
510,56.0,3.625575986,57100
520,55.0,3.689808137,58200
530,58.0,3.756554101,59300
540,58.0,3.821675654,60400
550,56.0,3.888712663,61500
560,55.0,3.957330664,62600
570,55.0,4.024062651,63700
580,54.0,4.09275396,64800
590,56.0,4.1608671,65900
600,57.0,4.22825596,67000
610,54.0,4.296396016,68100
620,57.0,4.361936287,69200
630,56.0,4.423591712,70300
640,57.0,4.485262687,71400
650,56.0,4.544557191,72500
660,55.0,4.628093902,73600
670,58.0,4.702587398,74700
680,56.0,4.766396581,75800
690,55.0,4.829921387,76900
700,56.0,4.895385154,78000
710,57.0,4.961782418,79100
720,55.0,5.026622683,80200
730,58.0,5.090989826,81300
740,56.0,5.15705902,82400
750,56.0,5.22070069,83500
760,56.0,5.285306583,84600
770,53.0,5.352607945,85700
780,56.0,5.419175573,86800
790,58.0,5.481814621,87900
800,64.0,5.545001902,89000
810,59.0,5.606560539,90100
820,64.0,5.671384232,91200
830,58.0,5.730710525,92300
840,64.0,5.793154425,93400
850,60.0,5.855324837,94500
860,58.0,5.917879346,95600
870,59.0,5.981937963,96700
880,64.0,6.043660251,97800
890,60.0,6.125054975,98900
900,63.0,6.196548843,100000
910,58.0,6.265572316,101100
920,64.0,6.335331871,102200
930,64.0,6.400339605,103300
940,65.0,6.467262066,104400
950,62.0,6.533050782,105500
960,58.0,6.599753655,106600
970,57.0,6.667377775,107700
980,58.0,6.734393853,108800
990,60.0,6.802800514,109900
1000,57.0,6.864955952,111000
1010,59.0,6.931024869,112100
1020,55.0,6.993173298,113200
1030,55.0,7.055984607,114300
1040,58.0,7.117796775,115400
1050,57.0,7.179104123,116500
1060,60.0,7.244033445,117600
1070,56.0,7.308478328,118700
1080,56.0,7.37526658,119800
1090,59.0,7.43742335,120900
1100,57.0,7.500033711,122000
1110,56.0,7.565147821,123100
1120,59.0,7.628720137,124200
1130,58.0,7.693618071,125300
1140,59.0,7.761210819,126400
1150,61.0,7.827878154,127500
1160,57.0,7.897018519,128600
1170,58.0,7.962284035,129700
1180,61.0,8.024248273,130800
1190,58.0,8.08888765,131900
1200,57.0,8.150423352,133000
1210,56.0,8.214584144,134100
1220,58.0,8.277098201,135200
1230,56.0,8.341692269,136300
1240,57.0,8.406301206,137400
1250,55.0,8.468831546,138500
1260,57.0,8.530526842,139600
1270,58.0,8.593753885,140700
1280,56.0,8.654647046,141800
1290,56.0,8.719396627,142900
1300,60.0,8.780021668,144000
1310,58.0,8.843954664,145100
1320,58.0,8.90839021,146200
1330,55.0,8.96666437,147300
1340,58.0,9.026058209,148400
1350,56.0,9.087598451,149500
1360,58.0,9.148765153,150600
1370,59.0,9.213211443,151700
1380,55.0,9.277644072,152800
1390,57.0,9.341596788,153900
1400,55.0,9.403207531,155000
1410,57.0,9.46675668,156100
1420,59.0,9.529081325,157200
1430,58.0,9.591222489,158300
1440,58.0,9.652734372,159400
1450,58.0,9.716164776,160500
1460,58.0,9.778896199,161600
1470,56.0,9.84264493,162700
1480,58.0,9.90664577,163800
1490,58.0,9.971078434,164900
1500,55.0,10.035044261,166000
1510,58.0,10.103150349,167100
1520,65.0,10.174471537,168200
1530,62.0,10.23781438,169300
1540,65.0,10.301452902,170400
1550,62.0,10.364843767,171500
1560,57.0,10.426361416,172600
1570,62.0,10.486918588,173700
1580,59.0,10.554803345,174800
1590,64.0,10.619770078,175900
1600,59.0,10.686249081,177000
1610,62.0,10.7464441,178100
1620,64.0,10.81370314,179200
1630,58.0,10.880054255,180300
1640,59.0,10.942362412,181400
1650,58.0,11.005232812,182500
1660,61.0,11.069418094,183600
1670,64.0,11.131371884,184700
1680,60.0,11.19462624,185800
1690,64.0,11.256986321,186900
1700,58.0,11.31971642,188000
1710,59.0,11.381072838,189100
1720,64.0,11.443658138,190200
1730,63.0,11.50680732,191300
1740,65.0,11.566747467,192400
1750,59.0,11.639374061,193500
1760,58.0,11.701584342,194600
1770,65.0,11.762264403,195700
1780,59.0,11.825202147,196800
1790,63.0,11.890277502,197900
1800,59.0,11.956428413,199000
1810,63.0,12.021728534,200100
1820,63.0,12.08506108,201200
1830,60.0,12.152373729,202300
1840,64.0,12.220865937,203400
1850,63.0,12.286266988,204500
1860,63.0,12.351139145,205600
1870,64.0,12.413533485,206700
1880,62.0,12.477079011,207800
1890,62.0,12.543590327,208900
1900,58.0,12.606038072,210000
1910,59.0,12.668639557,211100
1920,60.0,12.733647665,212200
1930,62.0,12.795749753,213300
1940,60.0,12.861210719,214400
1950,60.0,12.926235386,215500
1960,59.0,12.987362793,216600
1970,60.0,13.046928967,217700
1980,59.0,13.108030941,218800
1990,62.0,13.169994534,219900
2000,62.0,13.231737733,221000
2010,62.0,13.297768349,222100
2020,64.0,13.364825015,223200
2030,65.0,13.428741812,224300
2040,64.0,13.490497742,225400
2050,60.0,13.553533402,226500
2060,58.0,13.616375643,227600
2070,61.0,13.681028642,228700
2080,60.0,13.744275909,229800
2090,63.0,13.807854538,230900
2100,60.0,13.871159868,232000
2110,62.0,13.934086573,233100
2120,62.0,13.99788328,234200
2130,60.0,14.0646147,235300
2140,63.0,14.12786942,236400
2150,60.0,14.190802238,237500
2160,61.0,14.257597622,238600
2170,63.0,14.321503123,239700
2180,60.0,14.382849341,240800
2190,60.0,14.442962564,241900
2200,62.0,14.50794855,243000
2210,64.0,14.570769248,244100
2220,64.0,14.633409261,245200
2230,59.0,14.695441406,246300
2240,63.0,14.754284827,247400
2250,60.0,14.814967274,248500
2260,63.0,14.876486429,249600
2270,61.0,14.93868766,250700
2280,62.0,15.000037527,251800
2290,63.0,15.063313858,252900
2300,59.0,15.122351611,254000
2310,60.0,15.183122973,255100
2320,59.0,15.277908506,256200
2330,63.0,15.344636926,257300
2340,63.0,15.409115696,258400
2350,59.0,15.472588098,259500
2360,59.0,15.55745942,260600
2370,59.0,15.623708412,261700
2380,62.0,15.682562336,262800
2390,63.0,15.746743287,263900
2400,63.0,15.812534901,265000
2410,63.0,15.873245866,266100
2420,59.0,15.934642637,267200
2430,59.0,15.996405726,268300
2440,64.0,16.055937038,269400
2450,59.0,16.115750177,270500
2460,63.0,16.175963894,271600
2470,63.0,16.24012188,272700
2480,60.0,16.302972436,273800
2490,63.0,16.362829321,274900
2500,62.0,16.4270467,276000
2510,59.0,16.494871329,277100
2520,61.0,16.562127,278200
2530,60.0,16.631900767,279300
2540,60.0,16.701187209,280400
2550,59.0,16.769987841,281500
2560,60.0,16.838190097,282600
2570,60.0,16.908179917,283700
2580,59.0,16.976923927,284800
2590,61.0,17.04656217,285900
2600,60.0,17.113362177,287000
2610,60.0,17.178413318,288100
2620,59.0,17.243138322,289200
2630,61.0,17.305457443,290300
2640,61.0,17.370480856,291400
2650,60.0,17.431124589,292500
2660,60.0,17.492535955,293600
2670,59.0,17.553216168,294700
2680,59.0,17.613240863,295800
2690,60.0,17.684085244,296900
2700,59.0,17.792117735,298000
2710,59.0,17.875730056,299100
2720,59.0,17.944424236,300200
2730,59.0,18.004859531,301300
2740,59.0,18.066499317,302400
2750,59.0,18.128924458,303500
2760,60.0,18.193850331,304600
2770,59.0,18.254884335,305700
2780,59.0,18.313427106,306800
2790,58.0,18.376017264,307900
2800,61.0,18.444552427,309000
2810,58.0,18.513893416,310100
2820,59.0,18.576800825,311200
2830,59.0,18.639719756,312300
2840,59.0,18.700646501,313400
2850,58.0,18.761036478,314500
2860,60.0,18.820933679,315600
2870,58.0,18.884004415,316700
2880,58.0,18.946672254,317800
2890,60.0,19.007463587,318900
2900,59.0,19.071768881,320000
2910,59.0,19.136448684,321100
2920,60.0,19.203246907,322200
2930,59.0,19.268843583,323300
2940,59.0,19.33267316,324400
2950,60.0,19.392638658,325500
2960,60.0,19.453483946,326600
2970,61.0,19.519251851,327700
2980,60.0,19.585917089,328800
2990,60.0,19.650677509,329900
3000,61.0,19.718296879,331000
3010,58.0,19.782615159,332100
3020,59.0,19.846364898,333200
3030,59.0,19.90812061,334300
3040,58.0,19.969336355,335400
3050,60.0,20.028244287,336500
3060,61.0,20.08653761,337600
3070,58.0,20.146505158,338700
3080,60.0,20.205365569,339800
3090,59.0,20.264687308,340900
3100,60.0,20.323464159,342000
3110,59.0,20.383718032,343100
3120,58.0,20.464230598,344200
3130,58.0,20.612607592,345300
3140,60.0,20.71372727,346400
3150,58.0,20.776084367,347500
3160,60.0,20.836863974,348600
3170,59.0,20.903467088,349700
3180,58.0,20.968421103,350800
3190,60.0,21.031088763,351900
3200,59.0,21.123179002,353000
3210,59.0,21.195262042,354100
3220,59.0,21.257329732,355200
3230,59.0,21.32196091,356300
3240,59.0,21.383179318,357400
3250,59.0,21.450853483,358500
3260,62.0,21.517841029,359600
3270,58.0,21.585779712,360700
3280,59.0,21.652427456,361800
3290,57.0,21.727543633,362900
3300,58.0,21.796378171,364000
3310,58.0,21.865685453,365100
3320,59.0,21.930013882,366200
3330,62.0,21.993259506,367300
3340,58.0,22.055193798,368400
3350,57.0,22.118658578,369500
3360,60.0,22.184708764,370600
3370,58.0,22.247552545,371700
3380,59.0,22.317914509,372800
3390,57.0,22.381816469,373900
3400,58.0,22.440865226,375000
3410,59.0,22.500538847,376100
3420,60.0,22.559462445,377200
3430,58.0,22.620927433,378300
3440,58.0,22.685082625,379400
3450,59.0,22.748269827,380500
3460,59.0,22.810560087,381600
3470,59.0,22.881583447,382700
3480,59.0,22.951379099,383800
3490,59.0,23.012697968,384900
3500,59.0,23.073349548,386000
3510,58.0,23.134270442,387100
3520,62.0,23.195552578,388200
3530,59.0,23.2545204,389300
3540,60.0,23.315130977,390400
3550,59.0,23.379390185,391500
3560,59.0,23.443298089,392600
3570,58.0,23.513323888,393700
3580,59.0,23.577235014,394800
3590,60.0,23.638880349,395900
3600,59.0,23.704433691,397000
3610,61.0,23.769196387,398100
3620,59.0,23.830557198,399200
3630,59.0,23.891870005,400300
3640,60.0,23.95051746,401400
3650,59.0,24.011442352,402500
3660,61.0,24.070661892,403600
3670,58.0,24.128804031,404700
3680,59.0,24.212113077,405800
3690,59.0,24.271113678,406900
3700,61.0,24.334479176,408000
3710,59.0,24.395220848,409100
3720,59.0,24.469190382,410200
3730,59.0,24.530052842,411300
3740,62.0,24.597187124,412400
3750,59.0,24.659689499,413500
3760,61.0,24.730641014,414600
3770,60.0,24.79563021,415700
3780,59.0,24.869934803,416800
3790,59.0,24.944246629,417900
3800,61.0,25.01150988,419000
3810,60.0,25.07635317,420100
3820,60.0,25.138464068,421200
3830,60.0,25.201780643,422300
3840,60.0,25.26410861,423400
3850,63.0,25.344274193,424500
3860,61.0,25.413339526,425600
3870,60.0,25.476880597,426700
3880,66.0,25.537854517,427800
3890,61.0,25.601655231,428900
3900,60.0,25.663026948,430000
3910,60.0,25.720613293,431100
3920,60.0,25.781937225,432200
3930,60.0,25.840844913,433300
3940,59.0,25.899949626,434400
3950,61.0,25.960674393,435500
3960,60.0,26.020167042,436600
3970,60.0,26.08326472,437700
3980,60.0,26.143061794,438800
3990,60.0,26.203192693,439900
4000,61.0,26.263108723,441000
4010,60.0,26.322409162,442100
4020,60.0,26.38051575,443200
4030,60.0,26.440992502,444300
4040,59.0,26.499365328,445400
4050,61.0,26.558887793,446500
4060,61.0,26.616023457,447600
4070,61.0,26.67732111,448700
4080,61.0,26.739227437,449800
4090,60.0,26.802157339,450900
4100,60.0,26.871052689,452000
4110,60.0,26.931726253,453100
4120,61.0,26.992016451,454200
4130,59.0,27.050779757,455300
4140,61.0,27.110001943,456400
4150,59.0,27.171015868,457500
4160,59.0,27.231409375,458600
4170,59.0,27.292458874,459700
4180,60.0,27.35454704,460800
4190,60.0,27.416026785,461900
4200,60.0,27.47952917,463000
4210,59.0,27.544839958,464100
4220,59.0,27.606037236,465200
4230,60.0,27.669393217,466300
4240,60.0,27.729596167,467400
4250,60.0,27.789744949,468500
4260,59.0,27.8519882,469600
4270,58.0,27.912688167,470700
4280,60.0,27.973351845,471800
4290,59.0,28.035921414,472900
4300,59.0,28.098497753,474000
4310,61.0,28.158731381,475100
4320,60.0,28.221818925,476200
4330,60.0,28.284994842,477300
4340,60.0,28.356435994,478400
4350,59.0,28.427224073,479500
4360,60.0,28.488213247,480600
4370,60.0,28.548085933,481700
4380,61.0,28.611207718,482800
4390,61.0,28.672882552,483900
4400,60.0,28.736329395,485000
4410,61.0,28.79976095,486100
4420,61.0,28.862045243,487200
4430,60.0,28.92035137,488300
4440,60.0,28.98233843,489400
4450,59.0,29.04658758,490500
4460,61.0,29.108291913,491600
4470,61.0,29.170124149,492700
4480,60.0,29.231908429,493800
4490,60.0,29.300564188,494900
4500,61.0,29.368297289,496000
4510,62.0,29.434081235,497100
4520,61.0,29.498854014,498200
4530,62.0,29.565983478,499300
4540,61.0,29.63091371,500400
4550,59.0,29.692788159,501500
4560,59.0,29.754071524,502600
4570,60.0,29.81525838,503700
4580,60.0,29.877503114,504800
4590,61.0,29.939825982,505900
4600,60.0,30.0010388,507000
4610,60.0,30.063137763,508100
4620,60.0,30.123256406,509200
4630,61.0,30.183760343,510300
4640,59.0,30.245595987,511400
4650,58.0,30.305458902,512500
4660,60.0,30.362956175,513600
4670,60.0,30.422377501,514700
4680,60.0,30.484287091,515800
4690,59.0,30.546339062,516900
4700,60.0,30.617646465,518000
4710,60.0,30.689683594,519100
4720,64.0,30.752738099,520200
4730,60.0,30.811979014,521300
4740,60.0,30.881438847,522400
4750,60.0,30.943182528,523500
4760,59.0,31.002864316,524600
4770,62.0,31.064580683,525700
4780,61.0,31.126662351,526800
4790,60.0,31.185858096,527900
4800,60.0,31.246527911,529000
4810,60.0,31.306062327,530100
4820,60.0,31.374915967,531200
4830,60.0,31.446526802,532300
4840,66.0,31.51329995,533400
4850,60.0,31.579637456,534500
4860,61.0,31.661375174,535600
4870,61.0,31.735603373,536700
4880,60.0,31.804771631,537800
4890,60.0,31.879296205,538900
4900,60.0,31.950484037,540000
4910,61.0,32.021805865,541100
4920,60.0,32.095046719,542200
4930,59.0,32.160031579,543300
4940,60.0,32.219681849,544400
4950,60.0,32.282305867,545500
4960,59.0,32.344479907,546600
4970,62.0,32.411374814,547700
4980,61.0,32.47611445,548800
4990,60.0,32.541091041,549900
5000,60.0,32.603831995,551000
