iterations,fitness,time,fevals
0,16.0,1.97880000004e-05,11
10,16.0,3.95880000004e-05,21
20,16.0,5.61810000006e-05,31
30,18.0,7.46580000004e-05,41
40,18.0,9.29090000001e-05,51
50,18.0,0.00011087,61
60,18.0,0.000165774000001,71
70,18.0,0.000193578000001,81
80,18.0,0.000211042000001,91
90,18.0,0.000230100000001,101
100,20.0,0.000248144000001,111
110,20.0,0.000268724000001,121
120,20.0,0.000288164000001,131
130,20.0,0.000308442000001,141
140,20.0,0.000328760000001,151
150,20.0,0.000348911000001,161
160,20.0,0.000401866000002,171
170,20.0,0.000425008000001,181
180,20.0,0.000506083000002,191
190,23.0,0.000533483000002,201
200,23.0,0.000579171000002,211
210,23.0,0.000611532000002,221
220,23.0,0.000632285000002,231
230,23.0,0.000681224000002,241
240,24.0,0.000710140000002,251
250,24.0,0.000728513000002,261
260,24.0,0.000742979000002,271
270,24.0,0.000759381000002,281
280,24.0,0.000779017000001,291
290,24.0,0.000797608000001,301
300,24.0,0.000814384000001,311
310,24.0,0.000827849000001,321
320,24.0,0.000844669000001,331
330,24.0,0.000883015000001,341
340,24.0,0.000897337000001,351
350,25.0,0.000915358000001,361
360,25.0,0.000929750000001,371
370,25.0,0.000943220000001,381
380,25.0,0.000963480000002,391
390,25.0,0.000988547000001,401
400,25.0,0.001005291,411
410,25.0,0.00106513,421
420,26.0,0.001095888,431
430,26.0,0.00117666,441
440,26.0,0.001197928,451
450,26.0,0.003798621,461
460,26.0,0.003836822,471
470,26.0,0.003878131,481
480,26.0,0.003903452,491
490,26.0,0.003920896,501
500,27.0,0.003937601,511
510,27.0,0.003952508,521
520,27.0,0.003966643,531
530,27.0,0.003984862,541
540,27.0,0.004010279,551
550,28.0,0.004036249,561
560,28.0,0.004051342,571
570,28.0,0.004063269,581
580,28.0,0.004083088,591
590,28.0,0.004099496,601
600,28.0,0.004118468,611
610,28.0,0.004138627,621
620,28.0,0.004157309,631
630,28.0,0.004175227,641
640,28.0,0.004193645,651
650,28.0,0.00421332,661
660,28.0,0.004235872,671
670,28.0,0.004265985,681
680,28.0,0.004302351,691
690,28.0,0.004331677,701
700,28.0,0.004353041,711
710,28.0,0.004397685,721
720,28.0,0.004441925,731
730,28.0,0.004454835,741
740,29.0,0.004473161,751
750,29.0,0.004494236,761
760,29.0,0.004517243,771
770,29.0,0.004665433,781
780,29.0,0.004688514,791
790,29.0,0.004712502,801
800,29.0,0.004763722,811
810,29.0,0.004782836,821
820,29.0,0.004816347,831
830,29.0,0.004861942,841
840,29.0,0.004895659,851
850,29.0,0.004921199,861
860,36.0,0.004986778,871
870,36.0,0.005005628,881
880,38.0,0.005062616,891
890,39.0,0.005140562,901
900,40.0,0.00516601,911
910,40.0,0.005179798,921
920,42.0,0.00523478,931
930,42.0,0.005256011,941
940,42.0,0.005273146,951
950,43.0,0.005291442,961
960,43.0,0.005308914,971
970,44.0,0.005326583,981
980,44.0,0.005354195,991
990,44.0,0.005372992,1001
1000,45.0,0.005391491,1011
1010,45.0,0.005410426,1021
1020,46.0,0.005428839,1031
1030,46.0,0.005443555,1041
1040,46.0,0.005459943,1051
1050,46.0,0.005493625,1061
1060,46.0,0.005515865,1071
1070,47.0,0.005532677,1081
1080,47.0,0.005565647,1091
1090,47.0,0.005586477,1101
1100,47.0,0.005629666,1111
1110,48.0,0.00568074,1121
1120,48.0,0.005699889,1131
1130,48.0,0.005714305,1141
1140,48.0,0.005729426,1151
1150,49.0,0.005740866,1161
1160,49.0,0.005750653,1171
1170,49.0,0.005761649,1181
1180,49.0,0.005780567,1191
1190,49.0,0.005804138,1201
1200,49.0,0.005831584,1211
1210,49.0,0.005848832,1221
1220,49.0,0.005867162,1231
1230,49.0,0.005884593,1241
1240,49.0,0.005967793,1251
1250,49.0,0.00598677,1261
1260,49.0,0.006004444,1271
1270,49.0,0.006023156,1281
1280,49.0,0.006040501,1291
1290,49.0,0.00607268,1301
1300,49.0,0.006200588,1311
1310,49.0,0.006222186,1321
1320,49.0,0.006245048,1331
1330,49.0,0.006262208,1341
1340,49.0,0.006321388,1351
1350,49.0,0.006382893,1361
1360,49.0,0.00640316,1371
1370,49.0,0.006425661,1381
1380,49.0,0.006443601,1391
1390,49.0,0.006495119,1401
1400,49.0,0.006515278,1411
1410,49.0,0.006689174,1421
1420,49.0,0.006725387,1431
1430,49.0,0.006751387,1441
1440,49.0,0.006771355,1451
1450,49.0,0.006787953,1461
1460,49.0,0.006809231,1471
1470,49.0,0.006828334,1481
1480,49.0,0.00684807,1491
1490,49.0,0.006864851,1501
1500,49.0,0.006879875,1511
1510,49.0,0.006902443,1521
1520,49.0,0.006923685,1531
1530,49.0,0.006947089,1541
1540,49.0,0.00697391900001,1551
1550,50.0,0.00699890800001,1561
1560,55.0,0.00701767600001,1571
1570,55.0,0.00703387900001,1581
1580,55.0,0.00706485,1591
1590,56.0,0.007088792,1601
1600,57.0,0.007108421,1611
1610,57.0,0.00712214,1621
1620,57.0,0.007134913,1631
1630,57.0,0.007156562,1641
1640,57.0,0.007175764,1651
1650,57.0,0.007193596,1661
1660,57.0,0.007214639,1671
1670,57.0,0.007239048,1681
1680,57.0,0.007260007,1691
1690,57.0,0.007276609,1701
1700,57.0,0.007292927,1711
1710,57.0,0.007306971,1721
1720,57.0,0.007337215,1731
1730,57.0,0.0073662,1741
1740,57.0,0.007392319,1751
1750,57.0,0.007411787,1761
1760,57.0,0.007429758,1771
1770,57.0,0.007450303,1781
1780,58.0,0.007469008,1791
1790,58.0,0.007486483,1801
1800,58.0,0.007503715,1811
1810,58.0,0.007521359,1821
1820,58.0,0.007543537,1831
1830,58.0,0.007567158,1841
1840,59.0,0.007586092,1851
1850,62.0,0.007603594,1861
1860,62.0,0.007621198,1871
1870,62.0,0.007643224,1881
1880,62.0,0.007701189,1891
1890,62.0,0.007727511,1901
1900,62.0,0.007744404,1911
1910,62.0,0.007761772,1921
1920,63.0,0.007778861,1931
1930,63.0,0.007795606,1941
1940,65.0,0.007811861,1951
1950,65.0,0.007830983,1961
1960,65.0,0.007851915,1971
1970,65.0,0.00786971,1981
1980,65.0,0.007889639,1991
1990,65.0,0.007907054,2001
2000,65.0,0.007928165,2011
2010,65.0,0.008232884,2021
2020,65.0,0.008257084,2031
2030,65.0,0.008304866,2041
2040,65.0,0.008326762,2051
2050,66.0,0.008347618,2061
2060,67.0,0.008369517,2071
2070,67.0,0.008425215,2081
2080,67.0,0.008448762,2091
2090,67.0,0.008469802,2101
2100,67.0,0.008487298,2111
2110,67.0,0.008507861,2121
2120,68.0,0.008527832,2131
2130,69.0,0.008549972,2141
2140,69.0,0.008564991,2151
2150,70.0,0.008580763,2161
2160,70.0,0.008597879,2171
2170,70.0,0.008614589,2181
2180,72.0,0.008632555,2191
2190,72.0,0.008649994,2201
2200,72.0,0.008667096,2211
2210,72.0,0.00868296,2221
2220,73.0,0.008701059,2231
2230,73.0,0.013816085,2241
2240,73.0,0.013836046,2251
2250,73.0,0.013852792,2261
2260,74.0,0.013872161,2271
2270,74.0,0.013889688,2281
2280,74.0,0.013904606,2291
2290,74.0,0.013920322,2301
2300,74.0,0.01394108,2311
2310,74.0,0.013958785,2321
2320,74.0,0.013980642,2331
2330,74.0,0.014001861,2341
2340,74.0,0.014023844,2351
2350,74.0,0.014039211,2361
2360,74.0,0.01405323,2371
2370,74.0,0.01406848,2381
2380,74.0,0.014309296,2391
2390,74.0,0.01433429,2401
2400,77.0,0.014350384,2411
2410,77.0,0.014361615,2421
2420,77.0,0.014372619,2431
2430,78.0,0.014385628,2441
2440,78.0,0.014396416,2451
2450,78.0,0.014406851,2461
2460,78.0,0.014420728,2471
2470,78.0,0.014432388,2481
2480,78.0,0.014443957,2491
2490,78.0,0.014458696,2501
2500,78.0,0.014472342,2511
2510,78.0,0.014488546,2521
2520,78.0,0.014499846,2531
2530,78.0,0.014513524,2541
2540,78.0,0.01452543,2551
2550,78.0,0.014543577,2561
2560,78.0,0.014560501,2571
2570,78.0,0.014580592,2581
2580,78.0,0.014647856,2591
2590,78.0,0.014708178,2601
2600,78.0,0.014735155,2611
2610,78.0,0.014759428,2621
2620,78.0,0.014779059,2631
2630,79.0,0.014806827,2641
2640,79.0,0.014831728,2651
2650,79.0,0.014850338,2661
2660,79.0,0.014863556,2671
2670,79.0,0.014886377,2681
2680,79.0,0.014905593,2691
2690,79.0,0.01498022,2701
2700,79.0,0.015002985,2711
2710,79.0,0.015021669,2721
2720,79.0,0.01504858,2731
2730,80.0,0.015108249,2741
2740,80.0,0.015132857,2751
2750,80.0,0.015154532,2761
2760,80.0,0.01517394,2771
2770,80.0,0.015194781,2781
2780,80.0,0.01521226,2791
2790,80.0,0.015229801,2801
2800,80.0,0.015246111,2811
2810,80.0,0.015271051,2821
2820,80.0,0.015291761,2831
2830,81.0,0.015308544,2841
2840,81.0,0.015352185,2851
2850,81.0,0.015417564,2861
2860,81.0,0.015713825,2871
2870,81.0,0.015735956,2881
2880,81.0,0.015755691,2891
2890,81.0,0.015773568,2901
2900,81.0,0.015796857,2911
2910,81.0,0.015821217,2921
2920,83.0,0.015845189,2931
2930,83.0,0.015865054,2941
2940,83.0,0.015883039,2951
2950,83.0,0.015900086,2961
2960,83.0,0.015953409,2971
2970,83.0,0.016000293,2981
2980,83.0,0.016023098,2991
2990,83.0,0.01604535,3001
3000,83.0,0.016062422,3011
3010,83.0,0.016078806,3021
3020,83.0,0.016093998,3031
3030,84.0,0.016114608,3041
3040,84.0,0.016132722,3051
3050,84.0,0.016146603,3061
3060,84.0,0.016161701,3071
3070,84.0,0.016177563,3081
3080,84.0,0.016204499,3091
3090,84.0,0.016229577,3101
3100,84.0,0.016251231,3111
3110,84.0,0.016272934,3121
3120,84.0,0.016292012,3131
3130,84.0,0.016357595,3141
3140,84.0,0.0163837,3151
3150,84.0,0.01641223,3161
3160,84.0,0.016429487,3171
3170,84.0,0.016450363,3181
3180,84.0,0.016464685,3191
3190,84.0,0.01652797,3201
3200,84.0,0.016642334,3211
3210,84.0,0.016663136,3221
3220,84.0,0.016685645,3231
3230,84.0,0.016731388,3241
3240,84.0,0.016750789,3251
3250,84.0,0.016765312,3261
3260,84.0,0.016783832,3271
3270,84.0,0.016800715,3281
3280,84.0,0.016985195,3291
3290,84.0,0.017012804,3301
3300,84.0,0.017042327,3311
3310,84.0,0.017066622,3321
3320,84.0,0.01708872,3331
3330,84.0,0.017107387,3341
3340,84.0,0.017128618,3351
3350,84.0,0.017387612,3361
3360,84.0,0.017406968,3371
3370,84.0,0.017481321,3381
3380,84.0,0.017505766,3391
3390,84.0,0.017525249,3401
3400,84.0,0.017541436,3411
3410,84.0,0.01756687,3421
3420,84.0,0.017640675,3431
3430,84.0,0.017723143,3441
3440,84.0,0.017757153,3451
3450,84.0,0.017777988,3461
3460,84.0,0.017794547,3471
3470,84.0,0.017806541,3481
3480,84.0,0.01781682,3491
3490,84.0,0.017830408,3501
3500,84.0,0.017843539,3511
3510,84.0,0.017855328,3521
3520,84.0,0.017866959,3531
3530,84.0,0.017879977,3541
3540,84.0,0.017894339,3551
3550,84.0,0.017907294,3561
3560,84.0,0.017923568,3571
3570,84.0,0.017943887,3581
3580,84.0,0.017961457,3591
3590,84.0,0.017977852,3601
3600,84.0,0.017994897,3611
3610,84.0,0.018040062,3621
3620,84.0,0.018087003,3631
3630,84.0,0.018112022,3641
3640,84.0,0.018136143,3651
3650,84.0,0.018432495,3661
3660,84.0,0.018454759,3671
3670,84.0,0.018476554,3681
3680,86.0,0.018503148,3691
3690,86.0,0.018528151,3701
3700,86.0,0.018552677,3711
3710,86.0,0.018572693,3721
3720,86.0,0.018596659,3731
3730,86.0,0.018635211,3741
3740,86.0,0.018658767,3751
3750,86.0,0.018723167,3761
3760,86.0,0.018746491,3771
3770,86.0,0.018764397,3781
3780,86.0,0.018779692,3791
3790,86.0,0.018796283,3801
3800,86.0,0.018812034,3811
3810,91.0,0.018829426,3821
3820,91.0,0.018847514,3831
3830,91.0,0.018874577,3841
3840,91.0,0.018896014,3851
3850,91.0,0.018919916,3861
3860,91.0,0.018939201,3871
3870,91.0,0.018953184,3881
3880,91.0,0.018966704,3891
3890,91.0,0.018982368,3901
3900,91.0,0.019004065,3911
3910,91.0,0.019019163,3921
3920,91.0,0.019035785,3931
3930,91.0,0.019058131,3941
3940,91.0,0.01907919,3951
3950,91.0,0.019097492,3961
3960,91.0,0.019115165,3971
3970,91.0,0.019130587,3981
3980,91.0,0.019172781,3991
3990,91.0,0.019204525,4001
4000,91.0,0.019227014,4011
4010,91.0,0.019245207,4021
4020,91.0,0.019267769,4031
4030,91.0,0.01932168,4041
4040,91.0,0.019341771,4051
4050,91.0,0.019364102,4061
4060,91.0,0.019388001,4071
4070,91.0,0.019416366,4081
4080,91.0,0.019434198,4091
4090,91.0,0.019449033,4101
4100,91.0,0.019461503,4111
4110,91.0,0.019476383,4121
4120,92.0,0.019490841,4131
4130,92.0,0.019504832,4141
4140,92.0,0.019515385,4151
4150,92.0,0.01952681,4161
4160,92.0,0.019540296,4171
4170,92.0,0.019561364,4181
4180,92.0,0.019579355,4191
4190,92.0,0.019601786,4201
4200,93.0,0.019621977,4211
4210,95.0,0.019702812,4221
4220,95.0,0.019729811,4231
4230,95.0,0.019757021,4241
4240,95.0,0.019779116,4251
4250,95.0,0.019796771,4261
4260,95.0,0.019820627,4271
4270,97.0,0.019839574,4281
4280,97.0,0.019859384,4291
4290,97.0,0.019876877,4301
4300,97.0,0.019929079,4311
4310,97.0,0.019952338,4321
4320,97.0,0.019966916,4331
4330,97.0,0.019984432,4341
4340,97.0,0.020013378,4351
4350,97.0,0.020036306,4361
