iterations,fitness,time,fevals
0,12.0,1.80400000005e-05,11
10,15.0,3.09890000008e-05,21
20,12.0,3.97960000011e-05,31
30,15.0,4.97609999996e-05,41
40,12.0,6.41469999998e-05,51
50,12.0,0.000117383999999,61
60,12.0,0.000141379999999,71
70,12.0,0.000160289999998,81
80,13.0,0.000184362999997,91
90,13.0,0.000203463999997,101
100,13.0,0.000227841999996,111
110,11.0,0.000519039999997,121
120,12.0,0.000562250999996,131
130,12.0,0.000597654999996,141
140,12.0,0.000971658999996,151
150,12.0,0.000995726999996,161
160,15.0,0.001014619,171
170,15.0,0.001032615,181
180,13.0,0.001077081,191
190,15.0,0.001093746,201
200,12.0,0.001112566,211
210,12.0,0.001126901,221
220,15.0,0.001141929,231
230,12.0,0.001159232,241
240,13.0,0.00117396599999,251
250,14.0,0.00118781599999,261
260,13.0,0.001202336,271
270,16.0,0.00121606,281
280,13.0,0.001230482,291
290,13.0,0.001249259,301
300,14.0,0.001264416,311
310,13.0,0.001280611,321
320,12.0,0.001302651,331
330,13.0,0.001316545,341
340,13.0,0.001345282,351
350,13.0,0.001359188,361
360,12.0,0.001372719,371
370,12.0,0.001385975,381
380,14.0,0.001418724,391
390,13.0,0.00143779699999,401
400,14.0,0.00145936399999,411
410,15.0,0.00147603799999,421
420,15.0,0.00149748,431
430,19.0,0.001517951,441
440,19.0,0.001532293,451
450,19.0,0.00154571,461
460,20.0,0.001606707,471
470,22.0,0.001657345,481
480,24.0,0.001705297,491
490,24.0,0.001719063,501
500,24.0,0.001764922,511
510,24.0,0.00179148,521
520,24.0,0.001806182,531
530,24.0,0.001817931,541
540,24.0,0.001829626,551
550,24.0,0.001840575,561
560,29.0,0.001856419,571
570,29.0,0.001884234,581
580,29.0,0.001898527,591
590,29.0,0.001912551,601
600,29.0,0.001925568,611
610,29.0,0.001935846,621
620,29.0,0.001953289,631
630,29.0,0.002150749,641
640,30.0,0.00230884,651
650,30.0,0.002332649,661
660,30.0,0.002350403,671
670,30.0,0.002361798,681
680,30.0,0.00237227,691
690,32.0,0.002388749,701
700,32.0,0.00240503,711
710,33.0,0.00241703,721
720,33.0,0.002430362,731
730,34.0,0.002443347,741
740,34.0,0.002456097,751
750,34.0,0.002469873,761
760,34.0,0.002486352,771
770,34.0,0.002506212,781
780,34.0,0.002560321,791
790,34.0,0.002591025,801
800,35.0,0.002616856,811
810,35.0,0.002655961,821
820,35.0,0.002702148,831
830,35.0,0.00272568500001,841
840,35.0,0.002779888,851
850,35.0,0.00283888100001,861
860,35.0,0.00286068200001,871
870,35.0,0.00289485900001,881
880,35.0,0.00292265700001,891
890,35.0,0.00294903300001,901
900,35.0,0.00296675800001,911
910,35.0,0.00298505200001,921
920,35.0,0.00300119500001,931
930,35.0,0.00303409700001,941
940,36.0,0.00305063500001,951
950,36.0,0.00306700300001,961
960,36.0,0.00308081800001,971
970,36.0,0.00309608400001,981
980,36.0,0.00311974300001,991
990,36.0,0.00313741000001,1001
1000,36.0,0.00316031100001,1011
1010,36.0,0.00319026600001,1021
1020,36.0,0.00320218000001,1031
1030,36.0,0.00321160600001,1041
1040,40.0,0.00322093700001,1051
1050,40.0,0.00322948100001,1061
1060,40.0,0.00323960800001,1071
1070,40.0,0.00324936100001,1081
1080,40.0,0.00325701600001,1091
1090,40.0,0.00326868200001,1101
1100,40.0,0.00327952800001,1111
1110,45.0,0.00329114500001,1121
1120,45.0,0.00330248100001,1131
1130,45.0,0.00331564600001,1141
1140,45.0,0.00333059400001,1151
1150,45.0,0.00369337100001,1161
1160,45.0,0.00371431100001,1171
1170,45.0,0.00373386100001,1181
1180,45.0,0.00374860900001,1191
1190,45.0,0.00377807100001,1201
1200,45.0,0.00379445400001,1211
1210,45.0,0.00385845400001,1221
1220,45.0,0.00387741500001,1231
1230,45.0,0.00389586000001,1241
1240,48.0,0.00391450200001,1251
1250,48.0,0.00393087600001,1261
1260,48.0,0.00394448200001,1271
1270,48.0,0.00395734100001,1281
1280,48.0,0.00422750600001,1291
1290,48.0,0.00424902700001,1301
1300,48.0,0.00427037400001,1311
1310,48.0,0.00428733400001,1321
1320,48.0,0.00430326800001,1331
1330,48.0,0.00431849000001,1341
1340,49.0,0.00433323300001,1351
1350,49.0,0.00434910300001,1361
1360,49.0,0.00436582500001,1371
1370,49.0,0.00437852300001,1381
1380,49.0,0.00439298100001,1391
1390,50.0,0.00441779100001,1401
1400,50.0,0.00446766200001,1411
1410,51.0,0.00449294900001,1421
1420,51.0,0.00452008100001,1431
1430,51.0,0.00453604700001,1441
1440,51.0,0.00455680100001,1451
1450,51.0,0.00457265900001,1461
1460,51.0,0.00458700000001,1471
1470,51.0,0.00459734400001,1481
1480,51.0,0.00463165400001,1491
1490,51.0,0.00464370500001,1501
1500,51.0,0.00465883400001,1511
1510,51.0,0.00467216000001,1521
1520,51.0,0.00468503600001,1531
1530,51.0,0.00469871100001,1541
1540,51.0,0.00471132400001,1551
1550,51.0,0.00472510100001,1561
1560,54.0,0.00473947400001,1571
1570,54.0,0.00478915000001,1581
1580,54.0,0.00482878700001,1591
1590,55.0,0.00484316600001,1601
1600,55.0,0.00485819900001,1611
1610,55.0,0.00488024300001,1621
1620,55.0,0.00490020100001,1631
1630,55.0,0.00491513100001,1641
1640,55.0,0.00492981100001,1651
1650,55.0,0.00494138500001,1661
1660,55.0,0.00495510700001,1671
1670,55.0,0.00497069900001,1681
1680,55.0,0.00498490200001,1691
1690,55.0,0.00500111600001,1701
1700,55.0,0.00501710700001,1711
1710,55.0,0.00503246400001,1721
1720,55.0,0.00508902100001,1731
1730,55.0,0.00514566800001,1741
1740,55.0,0.00517195600001,1751
1750,55.0,0.00519092800001,1761
1760,55.0,0.00520631500001,1771
1770,56.0,0.00522371400001,1781
1780,56.0,0.00523807700001,1791
1790,56.0,0.00531222000001,1801
1800,56.0,0.00533487000001,1811
1810,56.0,0.00535418100001,1821
1820,56.0,0.00537237300001,1831
1830,56.0,0.00539000600001,1841
1840,56.0,0.00540539400001,1851
1850,56.0,0.00543291700001,1861
1860,57.0,0.00544585100001,1871
1870,57.0,0.00546794400001,1881
1880,57.0,0.00554135500001,1891
1890,57.0,0.00561644800001,1901
1900,58.0,0.00570814900001,1911
1910,58.0,0.00575173000001,1921
