iterations,fitness,time,fevals
0,478.0,0.000996817,11
10,480.0,0.001150086,21
20,478.0,0.001368689,31
30,474.0,0.00153189,41
40,478.0,0.001791546,51
50,480.0,0.002634108,61
60,482.0,0.002809749,71
70,482.0,0.002940645,81
80,486.0,0.00306278,91
90,488.0,0.003231294,101
100,490.0,0.003452881,111
110,490.0,0.00360052,121
120,492.0,0.003760256,131
130,496.0,0.003909059,141
140,500.0,0.004157211,151
150,504.0,0.004297311,161
160,512.0,0.004484164,171
170,512.0,0.004634029,181
180,516.0,0.00517575,191
190,528.0,0.005311395,201
200,530.0,0.005449287,211
210,536.0,0.005791644,221
220,536.0,0.006018894,231
230,536.0,0.00617142,241
240,538.0,0.006369002,251
250,538.0,0.00648892,261
260,538.0,0.006584594,271
270,538.0,0.006857326,281
280,540.0,0.007019661,291
290,540.0,0.007178658,301
300,542.0,0.009089039,311
310,546.0,0.009301479,321
320,546.0,0.0094258,331
330,552.0,0.009751992,341
340,552.0,0.009907108,351
350,556.0,0.010037292,361
360,558.0,0.010129804,371
370,560.0,0.010241207,381
380,562.0,0.010346114,391
390,564.0,0.010435297,401
400,566.0,0.010701531,411
410,568.0,0.010806165,421
420,572.0,0.010938289,431
430,576.0,0.01106886,441
440,582.0,0.011235366,451
450,584.0,0.011378332,461
460,584.0,0.011625534,471
470,588.0,0.011771738,481
480,590.0,0.011979537,491
490,590.0,0.012116587,501
500,594.0,0.012244176,511
510,594.0,0.0123792,521
520,598.0,0.012479568,531
530,598.0,0.012637033,541
540,600.0,0.012757776,551
550,600.0,0.012863374,561
560,600.0,0.012956629,571
570,600.0,0.013105872,581
580,602.0,0.013241221,591
590,602.0,0.013395556,601
600,604.0,0.013532785,611
610,604.0,0.013871869,621
620,606.0,0.014003906,631
630,608.0,0.014244237,641
640,608.0,0.014396418,651
650,612.0,0.014786631,661
660,612.0,0.014972271,671
670,612.0,0.015157397,681
680,614.0,0.015284991,691
690,614.0,0.015421915,701
700,614.0,0.015535113,711
710,616.0,0.01564521,721
720,616.0,0.015780952,731
730,616.0,0.015890781,741
740,616.0,0.016008951,751
750,616.0,0.016150806,761
760,616.0,0.016308353,771
770,616.0,0.016537162,781
780,616.0,0.016672837,791
790,620.0,0.016795724,801
800,620.0,0.016911313,811
810,622.0,0.017056522,821
820,624.0,0.017190739,831
830,624.0,0.01730907,841
840,626.0,0.017417091,851
850,628.0,0.017517198,861
860,630.0,0.017658255,871
870,630.0,0.017798728,881
880,632.0,0.01793582,891
890,632.0,0.020346968,901
900,632.0,0.020481963,911
910,632.0,0.021284585,921
920,632.0,0.022393344,931
930,632.0,0.022495125,941
940,640.0,0.022609257,951
950,640.0,0.022705897,961
960,642.0,0.022811114,971
970,642.0,0.022922401,981
980,642.0,0.023039267,991
990,642.0,0.023172328,1001
1000,646.0,0.023460553,1011
1010,646.0,0.023882394,1021
1020,650.0,0.024091987,1031
1030,650.0,0.024278003,1041
1040,652.0,0.024405085,1051
1050,652.0,0.024559449,1061
1060,656.0,0.024698877,1071
1070,658.0,0.024876477,1081
1080,658.0,0.025044475,1091
1090,658.0,0.025377156,1101
1100,658.0,0.025598018,1111
1110,662.0,0.02581484,1121
1120,662.0,0.026023662,1131
1130,662.0,0.026170719,1141
1140,662.0,0.026345051,1151
1150,662.0,0.026457516,1161
1160,662.0,0.026599558,1171
1170,664.0,0.02669935,1181
1180,664.0,0.026797698,1191
1190,664.0,0.02700369,1201
1200,666.0,0.027142639,1211
1210,668.0,0.027299283,1221
1220,670.0,0.027476855,1231
1230,670.0,0.027898879,1241
1240,670.0,0.028075531,1251
1250,674.0,0.028187173,1261
1260,674.0,0.028308083,1271
1270,674.0,0.028425969,1281
1280,674.0,0.02854381,1291
1290,674.0,0.028678742,1301
1300,674.0,0.028843937,1311
1310,680.0,0.029017907,1321
1320,680.0,0.029187403,1331
1330,680.0,0.029324594,1341
1340,680.0,0.029487646,1351
1350,680.0,0.029613051,1361
1360,680.0,0.029775654,1371
1370,680.0,0.029908039,1381
1380,680.0,0.030027273,1391
1390,680.0,0.030150108,1401
1400,682.0,0.030261754,1411
1410,682.0,0.030433055,1421
1420,682.0,0.030568764,1431
1430,684.0,0.030815522,1441
1440,684.0,0.031091197,1451
1450,684.0,0.03121232,1461
1460,684.0,0.03162928,1471
1470,684.0,0.031782142,1481
1480,686.0,0.031915823,1491
1490,686.0,0.032043657,1501
1500,686.0,0.032207458,1511
1510,686.0,0.032355507,1521
1520,688.0,0.032517082,1531
1530,690.0,0.032648759,1541
1540,690.0,0.032777509,1551
1550,690.0,0.03291752,1561
1560,690.0,0.033036207,1571
1570,690.0,0.033223169,1581
1580,692.0,0.033477025,1591
1590,694.0,0.033640121,1601
1600,694.0,0.033767527,1611
1610,698.0,0.03392786,1621
1620,698.0,0.034114528,1631
1630,698.0,0.034286667,1641
1640,698.0,0.034755539,1651
1650,698.0,0.0349575,1661
1660,700.0,0.035269344,1671
1670,700.0,0.035391947,1681
1680,700.0,0.035523264,1691
1690,700.0,0.035622072,1701
1700,702.0,0.035739071,1711
1710,702.0,0.035837788,1721
1720,704.0,0.035949364,1731
1730,704.0,0.036046551,1741
1740,704.0,0.036153697,1751
1750,704.0,0.036295338,1761
1760,706.0,0.036439657,1771
1770,706.0,0.036584693,1781
