iterations,fitness,time,fevals
0,27.0,0.000652090999999,560
10,27.0,0.001337198,1010
20,27.0,0.002003691,1459
30,27.0,0.002665535,1921
40,27.0,0.003609515,2375
50,27.0,0.004523821,2825
60,31.0,0.005581689,3278
70,31.0,0.006043924,3730
80,31.0,0.006534197,4183
90,32.0,0.00699515300001,4625
100,31.0,0.00741523100001,5085
110,31.0,0.00787273100001,5551
120,32.0,0.00829276400001,5994
130,32.0,0.00878663900001,6451
140,32.0,0.00932309900001,6893
150,34.0,0.00997969200001,7349
160,33.0,0.010526038,7803
170,35.0,0.011179641,8270
180,37.0,0.011757988,8719
190,38.0,0.012361423,9179
200,39.0,0.013476934,9638
210,38.0,0.014552685,10087
220,39.0,0.015276873,10542
230,39.0,0.01583071,10996
240,38.0,0.016269377,11454
250,39.0,0.016688986,11911
260,39.0,0.017147975,12372
270,38.0,0.017571681,12829
280,38.0,0.018022125,13288
290,38.0,0.018441441,13742
300,38.0,0.018992615,14193
310,38.0,0.019446821,14649
320,39.0,0.019993358,15106
330,40.0,0.02061332,15557
340,40.0,0.021210003,15997
350,40.0,0.021909971,16449
360,40.0,0.024289109,16927
370,39.0,0.024820984,17379
380,39.0,0.025290141,17831
390,39.0,0.025712379,18285
400,40.0,0.026144868,18743
410,40.0,0.026562094,19196
420,39.0,0.026992664,19654
430,39.0,0.027422836,20093
440,41.0,0.027960244,20537
450,44.0,0.028522316,20983
460,41.0,0.028970903,21436
470,40.0,0.029620756,21889
480,47.0,0.030261163,22353
490,47.0,0.030871787,22813
500,42.0,0.031416578,23271
510,43.0,0.032794998,23718
520,43.0,0.033972947,24161
530,45.0,0.034455282,24612
540,44.0,0.03489597,25062
550,46.0,0.035392024,25510
560,47.0,0.035850891,25961
570,47.0,0.036313649,26435
580,46.0,0.036739985,26900
590,47.0,0.037227586,27343
600,49.0,0.037668835,27794
610,48.0,0.038272857,28251
620,49.0,0.038694343,28705
630,50.0,0.039325672,29148
640,49.0,0.039976651,29610
650,50.0,0.040616776,30060
660,50.0,0.041506875,30521
670,51.0,0.04213239,31004
680,48.0,0.043616775,31467
690,48.0,0.044186508,31932
700,51.0,0.044618828,32395
710,50.0,0.045067798,32854
720,53.0,0.054978487,33303
730,54.0,0.055499401,33752
740,55.0,0.055946251,34205
750,56.0,0.056380268,34657
760,56.0,0.056802239,35116
770,56.0,0.057219416,35572
780,57.0,0.057608018,36026
790,57.0,0.057978745,36495
800,56.0,0.058360931,36948
810,58.0,0.058752927,37394
820,57.0,0.059159197,37842
830,57.0,0.059554607,38292
840,57.0,0.060075994,38731
850,57.0,0.060799144,39182
860,57.0,0.061270002,39622
870,56.0,0.062126634,40087
880,57.0,0.062893572,40548
890,55.0,0.064833501,41000
900,55.0,0.065284447,41461
910,55.0,0.065713329,41915
920,58.0,0.066121727,42383
