iterations,fitness,time,fevals
0,23.0,0.09043489,1000
10,28.0,0.169617237,2100
20,33.0,0.241190525,3200
30,34.0,0.309207603,4300
40,36.0,0.373934648,5400
50,39.0,0.438197117,6500
60,42.0,0.499310229,7600
70,45.0,0.560978082,8700
80,43.0,0.624544053,9800
90,44.0,0.688587941,10900
100,47.0,0.751732039,12000
110,47.0,0.813077721,13100
120,49.0,0.871823397,14200
130,47.0,0.933711755,15300
140,53.0,0.995219653,16400
150,54.0,1.053878848,17500
160,59.0,1.115321809,18600
170,53.0,1.17558241,19700
180,52.0,1.233496667,20800
190,54.0,1.291756153,21900
200,56.0,1.354087488,23000
210,54.0,1.412728999,24100
220,59.0,1.471087722,25200
230,55.0,1.529997236,26300
240,54.0,1.588531152,27400
250,59.0,1.64563443,28500
260,56.0,1.705545761,29600
270,61.0,1.763410115,30700
280,54.0,1.820347792,31800
290,54.0,1.88018986,32900
300,55.0,1.93667868,34000
310,54.0,1.993001568,35100
320,55.0,2.050346373,36200
330,55.0,2.112104271,37300
340,54.0,2.168200322,38400
350,54.0,2.225133693,39500
360,56.0,2.283663063,40600
370,60.0,2.340920055,41700
380,62.0,2.397895207,42800
390,54.0,2.456971626,43900
400,54.0,2.514009997,45000
410,56.0,2.572007405,46100
420,64.0,2.628003146,47200
430,63.0,2.686055136,48300
440,54.0,2.743921605,49400
450,54.0,2.802058278,50500
460,61.0,2.861096457,51600
470,62.0,2.919085513,52700
480,57.0,2.978081264,53800
490,59.0,3.037148092,54900
500,54.0,3.093546057,56000
510,55.0,3.148947177,57100
520,56.0,3.206316282,58200
530,54.0,3.264007635,59300
540,55.0,3.3212064,60400
550,55.0,3.377350791,61500
560,54.0,3.435923532,62600
570,54.0,3.493087347,63700
580,55.0,3.550709892,64800
590,55.0,3.609838076,65900
600,54.0,3.667588829,67000
610,54.0,3.724117398,68100
620,55.0,3.781270475,69200
630,54.0,3.839716074,70300
640,54.0,3.895952114,71400
650,63.0,3.953303263,72500
660,56.0,4.010963534,73600
670,57.0,4.070582381,74700
680,55.0,4.127430524,75800
690,56.0,4.185745662,76900
700,55.0,4.246404019,78000
710,54.0,4.303349939,79100
720,54.0,4.359046911,80200
730,54.0,4.418051962,81300
740,55.0,4.474905959,82400
750,54.0,4.532412981,83500
760,54.0,4.588821752,84600
770,58.0,4.648325809,85700
780,54.0,4.709797011,86800
790,55.0,4.766146526,87900
800,55.0,4.824089107,89000
810,55.0,4.880381414,90100
820,54.0,4.936804898,91200
830,56.0,4.996808493,92300
840,63.0,5.055860194,93400
850,54.0,5.115911317,94500
860,60.0,5.176239338,95600
870,59.0,5.233148512,96700
880,62.0,5.290708432,97800
890,61.0,5.350652358,98900
900,61.0,5.409603182,100000
910,56.0,5.468538594,101100
920,54.0,5.526670917,102200
930,56.0,5.583490694,103300
