iterations,fitness,time,fevals
0,19.0,0.000592325,11
10,19.0,0.000965531,21
20,19.0,0.001322085,31
30,19.0,0.001667276,41
40,19.0,0.002010262,51
50,19.0,0.002355744,61
60,19.0,0.00270277,71
70,20.0,0.003121321,81
80,25.0,0.003466805,91
90,25.0,0.003786991,101
100,25.0,0.004111891,111
110,26.0,0.004669556,121
120,26.0,0.005044517,131
130,26.0,0.005426137,141
140,26.0,0.005774308,151
150,26.0,0.006885559,161
160,26.0,0.007121793,171
170,26.0,0.007275781,181
180,26.0,0.007448681,191
190,26.0,0.007773071,201
200,26.0,0.00791648,211
210,26.0,0.008172727,221
220,26.0,0.008315331,231
230,26.0,0.008461957,241
240,26.0,0.008634836,251
250,26.0,0.00880149,261
260,26.0,0.008941981,271
270,26.0,0.009076914,281
280,26.0,0.009247944,291
290,26.0,0.009418225,301
300,27.0,0.009592035,311
310,27.0,0.009742584,321
320,27.0,0.009939394,331
330,27.0,0.010095982,341
340,27.0,0.010227284,351
350,27.0,0.010353976,361
360,27.0,0.01050035,371
370,27.0,0.011818386,381
380,27.0,0.012031847,391
390,27.0,0.012222585,401
400,27.0,0.012388629,411
410,27.0,0.012510628,421
420,27.0,0.012630856,431
430,27.0,0.015095334,441
440,27.0,0.015235868,451
450,27.0,0.01543677,461
460,27.0,0.015547198,471
470,27.0,0.015688978,481
480,27.0,0.01582958,491
490,27.0,0.016020584,501
500,27.0,0.016209971,511
510,27.0,0.016329434,521
520,27.0,0.016455759,531
530,27.0,0.016604647,541
540,27.0,0.016753861,551
550,27.0,0.016916453,561
560,27.0,0.017052668,571
570,27.0,0.017169574,581
580,27.0,0.017294287,591
590,27.0,0.01742302,601
600,27.0,0.017661034,611
610,27.0,0.017834142,621
620,27.0,0.017980228,631
630,28.0,0.018215201,641
640,28.0,0.018344063,651
650,28.0,0.018797369,661
660,28.0,0.018969276,671
670,28.0,0.022738439,681
680,28.0,0.022875679,691
690,28.0,0.023011171,701
700,28.0,0.023142406,711
710,28.0,0.023285416,721
720,28.0,0.023441079,731
730,28.0,0.023572225,741
740,28.0,0.023703579,751
750,28.0,0.023848216,761
760,28.0,0.024128104,771
770,28.0,0.024293873,781
780,28.0,0.024407352,791
790,28.0,0.024529555,801
800,28.0,0.024653879,811
810,28.0,0.024829401,821
820,28.0,0.024956959,831
830,28.0,0.025076366,841
840,28.0,0.025201287,851
850,28.0,0.025303861,861
860,28.0,0.025399042,871
870,28.0,0.025571531,881
880,28.0,0.025700992,891
890,28.0,0.025847367,901
900,28.0,0.025955358,911
910,28.0,0.026062345,921
920,28.0,0.026241646,931
930,28.0,0.026379712,941
940,28.0,0.026482952,951
950,28.0,0.026591702,961
960,28.0,0.026707115,971
970,28.0,0.026970673,981
980,28.0,0.027090852,991
990,28.0,0.027211371,1001
1000,28.0,0.027323882,1011
1010,28.0,0.027440922,1021
1020,29.0,0.027570173,1031
1030,30.0,0.027850311,1041
1040,30.0,0.027962357,1051
1050,30.0,0.028120362,1061
1060,30.0,0.028243999,1071
1070,30.0,0.028359322,1081
1080,30.0,0.028555184,1091
1090,30.0,0.028661431,1101
1100,30.0,0.028779964,1111
1110,30.0,0.028886953,1121
1120,30.0,0.028996581,1131
1130,30.0,0.029094902,1141
1140,30.0,0.029224475,1151
1150,30.0,0.029332618,1161
1160,30.0,0.029436633,1171
1170,31.0,0.029551833,1181
1180,32.0,0.029666325,1191
1190,32.0,0.029803848,1201
1200,33.0,0.029909866,1211
1210,34.0,0.030082525,1221
1220,39.0,0.030233086,1231
1230,39.0,0.030341462,1241
1240,39.0,0.030600687,1251
1250,39.0,0.030707849,1261
1260,39.0,0.030816009,1271
1270,39.0,0.030923249,1281
1280,39.0,0.031216692,1291
1290,39.0,0.03142015,1301
1300,39.0,0.031536186,1311
1310,39.0,0.031651546,1321
1320,39.0,0.031764078,1331
1330,39.0,0.031895636,1341
1340,39.0,0.032123665,1351
1350,39.0,0.03221954,1361
1360,39.0,0.032338135,1371
1370,39.0,0.032450736,1381
1380,39.0,0.032573629,1391
1390,39.0,0.032686035,1401
1400,39.0,0.032804009,1411
1410,39.0,0.032928057,1421
1420,39.0,0.033041168,1431
1430,39.0,0.033233178,1441
1440,39.0,0.033358912,1451
1450,39.0,0.033458893,1461
1460,39.0,0.033551873,1471
1470,39.0,0.033657208,1481
1480,39.0,0.033764566,1491
1490,39.0,0.033906903,1501
1500,39.0,0.03400668,1511
1510,39.0,0.034127384,1521
1520,39.0,0.034232164,1531
1530,39.0,0.034383503,1541
1540,39.0,0.034524816,1551
1550,39.0,0.03463738,1561
1560,39.0,0.034742815,1571
1570,39.0,0.034925438,1581
1580,39.0,0.035070426,1591
1590,39.0,0.035183093,1601
1600,39.0,0.035283881,1611
1610,39.0,0.035524369,1621
1620,39.0,0.035643276,1631
1630,40.0,0.035799545,1641
1640,40.0,0.035911026,1651
1650,42.0,0.036015333,1661
1660,42.0,0.036123854,1671
1670,43.0,0.036231225,1681
1680,43.0,0.036349193,1691
1690,43.0,0.036461801,1701
1700,43.0,0.036641944,1711
1710,43.0,0.038533264,1721
1720,43.0,0.038763042,1731
1730,43.0,0.038881454,1741
