iterations,fitness,time,fevals
0,11.0,2.58090000003e-05,11
10,11.0,5.9093e-05,21
20,13.0,8.5103e-05,31
30,11.0,0.000110082,41
40,13.0,0.000136087,51
50,14.0,0.000158957,61
60,10.0,0.000179277,71
70,17.0,0.000218427,81
80,19.0,0.000245548,91
90,19.0,0.000292679999999,101
100,19.0,0.000323902999999,111
110,19.0,0.000408754999999,121
120,20.0,0.000441210999998,131
130,20.0,0.000498765999998,141
140,20.0,0.000537365999998,151
150,20.0,0.000568917999998,161
160,20.0,0.000616279999998,171
170,22.0,0.000637346999999,181
180,22.0,0.000662314999999,191
190,22.0,0.000688147999999,201
200,22.0,0.000728008999999,211
210,22.0,0.000762816999998,221
220,23.0,0.000795575999998,231
230,24.0,0.000830917999998,241
240,26.0,0.000873617999998,251
250,26.0,0.000901533999998,261
260,26.0,0.000954016999998,271
270,26.0,0.000985352999998,281
280,26.0,0.001010268,291
290,26.0,0.001034654,301
300,26.0,0.001057773,311
310,26.0,0.001083503,321
320,26.0,0.001105015,331
330,26.0,0.001145757,341
340,28.0,0.00117628,351
350,28.0,0.0012751,361
360,28.0,0.001313636,371
370,28.0,0.001379814,381
380,28.0,0.001420787,391
390,29.0,0.001448072,401
400,29.0,0.001520603,411
410,29.0,0.001574007,421
420,29.0,0.001601692,431
430,29.0,0.001649474,441
440,29.0,0.001676879,451
450,29.0,0.001702974,461
460,29.0,0.001727221,471
470,29.0,0.001790529,481
480,29.0,0.001854855,491
490,29.0,0.00188222,501
500,29.0,0.001901701,511
510,29.0,0.001926171,521
520,29.0,0.001956537,531
530,29.0,0.001983129,541
540,29.0,0.002012687,551
550,29.0,0.002106063,561
560,30.0,0.002138049,571
570,30.0,0.002185974,581
580,36.0,0.002299493,591
590,36.0,0.002390102,601
600,36.0,0.002422044,611
610,36.0,0.002451686,621
620,36.0,0.002568908,631
630,36.0,0.002619191,641
640,37.0,0.002653012,651
650,37.0,0.002679624,661
660,37.0,0.002721626,671
670,37.0,0.002772135,681
680,38.0,0.002812452,691
690,38.0,0.002840173,701
700,39.0,0.002876331,711
710,39.0,0.002915938,721
720,43.0,0.002948798,731
730,44.0,0.002981169,741
740,48.0,0.003007471,751
750,49.0,0.003031326,761
760,49.0,0.003054881,771
770,49.0,0.003078236,781
780,49.0,0.003104105,791
790,49.0,0.003126631,801
800,49.0,0.003156751,811
810,50.0,0.003178669,821
820,50.0,0.003206763,831
830,50.0,0.00323835,841
840,50.0,0.003262257,851
850,52.0,0.003291872,861
860,52.0,0.003328072,871
870,53.0,0.003371804,881
880,54.0,0.003431681,891
890,54.0,0.003482546,901
900,54.0,0.003531528,911
910,54.0,0.003575835,921
920,54.0,0.003624353,931
930,54.0,0.003650947,941
940,54.0,0.003696484,951
950,54.0,0.003729633,961
960,54.0,0.003757908,971
970,54.0,0.003793042,981
980,54.0,0.003820944,991
990,54.0,0.003851392,1001
1000,54.0,0.003962951,1011
1010,54.0,0.00399584,1021
1020,54.0,0.004062636,1031
1030,54.0,0.004092622,1041
1040,54.0,0.004117489,1051
1050,54.0,0.004148663,1061
1060,54.0,0.00418365,1071
1070,54.0,0.00425737,1081
1080,54.0,0.004362785,1091
1090,54.0,0.004410085,1101
1100,54.0,0.004443276,1111
1110,54.0,0.004484314,1121
1120,54.0,0.004583016,1131
1130,54.0,0.004630576,1141
1140,56.0,0.004662483,1151
1150,56.0,0.00468847,1161
1160,56.0,0.004721845,1171
1170,59.0,0.004749498,1181
1180,59.0,0.004778031,1191
1190,59.0,0.004803624,1201
1200,59.0,0.004824353,1211
1210,59.0,0.00489216,1221
1220,60.0,0.004932421,1231
1230,60.0,0.004956606,1241
1240,60.0,0.004987282,1251
1250,60.0,0.005058686,1261
1260,60.0,0.005089192,1271
1270,60.0,0.005114343,1281
1280,60.0,0.005143813,1291
1290,60.0,0.005172942,1301
1300,60.0,0.005204657,1311
1310,60.0,0.005240628,1321
1320,61.0,0.005265167,1331
1330,61.0,0.005364552,1341
1340,61.0,0.005416284,1351
1350,64.0,0.005599335,1361
1360,64.0,0.005634108,1371
1370,64.0,0.005663387,1381
1380,64.0,0.005702154,1391
1390,64.0,0.005829034,1401
1400,64.0,0.005894203,1411
1410,64.0,0.005923021,1421
1420,64.0,0.00598108,1431
1430,64.0,0.006007894,1441
1440,65.0,0.006054373,1451
1450,65.0,0.006079165,1461
1460,65.0,0.006101404,1471
1470,65.0,0.006157494,1481
1480,65.0,0.006181717,1491
1490,65.0,0.006242436,1501
1500,65.0,0.006277905,1511
1510,68.0,0.006321737,1521
1520,69.0,0.006360499,1531
1530,69.0,0.006395785,1541
1540,69.0,0.006428913,1551
1550,69.0,0.006517323,1561
1560,69.0,0.006566233,1571
1570,69.0,0.006601327,1581
1580,69.0,0.006649538,1591
1590,69.0,0.006758463,1601
1600,69.0,0.006810056,1611
1610,69.0,0.006839133,1621
1620,69.0,0.006871409,1631
1630,70.0,0.006901058,1641
1640,70.0,0.00693468,1651
1650,70.0,0.006971751,1661
1660,70.0,0.007146923,1671
1670,70.0,0.013435013,1681
1680,70.0,0.013462312,1691
1690,70.0,0.013496355,1701
1700,70.0,0.013530876,1711
1710,70.0,0.01461021,1721
1720,70.0,0.014657809,1731
1730,71.0,0.014704652,1741
1740,71.0,0.014737007,1751
1750,72.0,0.01477093,1761
1760,72.0,0.014801088,1771
1770,72.0,0.014850795,1781
1780,72.0,0.014891197,1791
1790,72.0,0.014924641,1801
1800,72.0,0.014944455,1811
1810,72.0,0.014962053,1821
1820,72.0,0.01497904,1831
1830,72.0,0.014996047,1841
1840,72.0,0.015012275,1851
1850,72.0,0.01502788,1861
1860,72.0,0.015052778,1871
1870,72.0,0.015072575,1881
1880,72.0,0.015098488,1891
1890,72.0,0.015159559,1901
1900,72.0,0.015179886,1911
1910,72.0,0.015197536,1921
1920,72.0,0.015243615,1931
1930,72.0,0.015274668,1941
1940,72.0,0.015303624,1951
