iterations,fitness,time,fevals
0,542.0,0.00658193,809
10,530.0,0.019092745,1498
20,530.0,0.023529904,2194
30,553.0,0.029934334,2883
40,552.0,0.039617926,3569
50,556.0,0.04472139,4269
60,557.0,0.052737126,4959
70,558.0,0.056718724,5638
80,555.0,0.061426005,6334
90,556.0,0.073269683,7028
100,559.0,0.077630686,7742
110,558.0,0.085883523,8415
120,562.0,0.089862922,9118
130,562.0,0.094589127,9821
140,558.0,0.097981076,10526
150,554.0,0.102926935,11230
160,558.0,0.106336556,11915
170,556.0,0.113623305,12607
180,560.0,0.117956019,13305
190,558.0,0.121587439,14000
200,554.0,0.129239734,14689
210,548.0,0.132787617,15385
220,554.0,0.135841573,16097
230,552.0,0.142013882,16810
240,554.0,0.145923118,17512
250,560.0,0.148859227,18220
260,552.0,0.152796635,18902
270,546.0,0.156574199,19585
280,552.0,0.161022935,20298
290,554.0,0.164487028,21004
300,556.0,0.169118113,21705
310,550.0,0.173605114,22402
320,564.0,0.177832729,23109
330,554.0,0.182807698,23799
340,554.0,0.186466373,24504
350,550.0,0.190830875,25200
360,552.0,0.196811252,25893
370,556.0,0.200676522,26600
380,556.0,0.206418024,27310
390,556.0,0.212628538,28010
400,558.0,0.21664716,28708
410,556.0,0.220235366,29420
420,560.0,0.223777482,30127
430,558.0,0.231293463,30836
440,558.0,0.234999429,31539
450,562.0,0.239632069,32246
460,556.0,0.242816505,32948
470,560.0,0.246928577,33652
480,561.0,0.25180836,34347
490,560.0,0.257265216,35049
500,556.0,0.260967958,35754
510,560.0,0.264825641,36441
520,558.0,0.268406256,37134
530,562.0,0.271277985,37832
540,564.0,0.274204527,38515
550,556.0,0.279874937,39215
560,558.0,0.283451122,39918
570,550.0,0.286722119,40616
580,550.0,0.290690174,41321
590,548.0,0.29538445,42018
600,546.0,0.299159105,42712
610,552.0,0.303292752,43411
620,548.0,0.307380179,44095
630,546.0,0.310270083,44791
640,554.0,0.313477921,45490
650,551.0,0.318544493,46202
660,556.0,0.322250559,46903
670,550.0,0.325762424,47607
680,544.0,0.332460579,48302
690,546.0,0.337223343,49005
700,546.0,0.340824753,49698
710,546.0,0.343870252,50391
720,552.0,0.347419032,51094
730,550.0,0.351830285,51798
740,546.0,0.35900974,52510
750,546.0,0.362016138,53216
760,550.0,0.365874935,53909
770,546.0,0.372734784,54618
780,552.0,0.379957969,55301
790,550.0,0.383829393,56006
800,550.0,0.387609507,56705
810,548.0,0.390488402,57393
