iterations,fitness,time,fevals
0,552.0,12.269314303,1000
10,613.0,28.017677819,2100
20,644.0,46.541629183,3200
30,674.0,61.547675967,4300
40,710.0,71.578855393,5400
50,736.0,80.493719687,6500
60,747.0,89.314176469,7600
70,751.0,99.038030374,8700
80,751.0,109.467862784,9800
90,747.0,120.359322377,10900
100,755.0,130.283911229,12000
110,751.0,137.639747134,13100
120,753.0,146.663038291,14200
130,753.0,163.691194655,15300
140,751.0,175.565206083,16400
150,751.0,184.060269076,17500
160,751.0,192.931825433,18600
170,753.0,202.068725684,19700
180,753.0,211.07546978,20800
190,755.0,224.087260024,21900
200,755.0,237.241106549,23000
210,753.0,246.585948486,24100
220,755.0,255.226517231,25200
230,751.0,263.750647344,26300
240,753.0,272.621775417,27400
250,753.0,282.99243955,28500
260,753.0,295.804934778,29600
270,755.0,305.347437776,30700
280,755.0,313.117472623,31800
290,753.0,320.777445564,32900
300,753.0,330.400808952,34000
310,755.0,340.956567551,35100
320,753.0,354.142096768,36200
330,751.0,364.923143774,37300
340,751.0,372.780134266,38400
350,753.0,384.533532957,39500
360,751.0,399.163188645,40600
370,753.0,411.381746297,41700
380,753.0,424.803895885,42800
390,755.0,432.961275045,43900
400,757.0,440.579339507,45000
410,755.0,450.759450208,46100
420,757.0,462.635062864,47200
430,757.0,471.496418173,48300
440,753.0,487.130239384,49400
450,759.0,497.936270521,50500
460,755.0,510.79796069,51600
470,757.0,519.709127779,52700
480,759.0,531.011761367,53800
490,759.0,544.117217678,54900
500,759.0,552.668123993,56000
510,755.0,565.068137363,57100
520,757.0,576.889751256,58200
530,757.0,589.336109762,59300
540,759.0,597.478770956,60400
550,761.0,605.268721598,61500
560,759.0,614.131351459,62600
570,757.0,627.397134567,63700
580,757.0,636.662054435,64800
590,759.0,645.83706264,65900
600,761.0,656.022035751,67000
610,761.0,664.42628681,68100
620,759.0,671.914317361,69200
630,761.0,679.392783756,70300
640,763.0,688.312188341,71400
650,759.0,696.717563864,72500
660,765.0,704.971397024,73600
670,761.0,712.915884479,74700
680,761.0,720.908904242,75800
690,763.0,728.717670067,76900
700,765.0,735.704178896,78000
710,765.0,743.244531293,79100
720,767.0,751.774461608,80200
730,769.0,759.586715854,81300
740,769.0,767.487228872,82400
750,769.0,775.911641351,83500
760,769.0,784.056448305,84600
770,769.0,791.517926431,85700
780,773.0,798.919937348,86800
790,773.0,807.025138069,87900
800,773.0,814.938561604,89000
810,775.0,822.975652685,90100
820,775.0,830.899468326,91200
830,775.0,838.814591612,92300
840,775.0,846.828108711,93400
850,775.0,853.820125307,94500
860,775.0,861.082244169,95600
870,775.0,869.611207584,96700
880,775.0,877.500096848,97800
890,773.0,885.557596659,98900
900,775.0,893.733802931,100000
910,773.0,902.486919649,101100
920,777.0,910.084789713,102200
930,777.0,917.161513233,103300
940,775.0,924.69168078,104400
950,779.0,933.718706261,105500
960,779.0,946.026296198,106600
970,779.0,959.268689206,107700
980,777.0,968.470763451,108800
990,779.0,975.876280299,109900
1000,779.0,984.246319473,111000
1010,781.0,999.21649673,112100
1020,779.0,1007.75414806,113200
1030,779.0,1018.49018534,114300
1040,779.0,1028.30754158,115400
1050,781.0,1036.03040315,116500
1060,779.0,1045.57112231,117600
1070,785.0,1058.69339972,118700
1080,779.0,1074.67585197,119800
1090,781.0,1087.61143425,120900
1100,781.0,1100.55764476,122000
1110,779.0,1113.74538753,123100
1120,783.0,1128.12316376,124200
1130,781.0,1139.3179668,125300
1140,781.0,1148.3674455,126400
1150,779.0,1156.32979942,127500
1160,779.0,1166.94393029,128600
1170,779.0,1178.15466134,129700
1180,781.0,1188.13517759,130800
1190,781.0,1200.86095207,131900
1200,781.0,1211.42692438,133000
1210,779.0,1220.12199703,134100
1220,781.0,1230.92917689,135200
1230,783.0,1242.0735241,136300
1240,779.0,1253.81070304,137400
1250,783.0,1264.67204627,138500
1260,783.0,1272.54763531,139600
1270,783.0,1279.86643725,140700
1280,783.0,1288.50605113,141800
1290,781.0,1300.36173822,142900
1300,787.0,1308.90473116,144000
1310,781.0,1317.7265167,145100
1320,783.0,1326.37730125,146200
1330,785.0,1337.12779681,147300
1340,785.0,1351.5973812,148400
1350,783.0,1362.21702971,149500
1360,781.0,1375.80697581,150600
1370,781.0,1386.00794883,151700
1380,783.0,1394.37015252,152800
1390,781.0,1404.97344918,153900
1400,783.0,1417.16886269,155000
1410,783.0,1430.50953722,156100
1420,783.0,1444.08691144,157200
1430,783.0,1452.87232898,158300
1440,783.0,1463.75717939,159400
1450,783.0,1475.63739244,160500
1460,781.0,1484.26101125,161600
1470,787.0,1495.82883882,162700
1480,783.0,1507.04729412,163800
1490,781.0,1515.1744826,164900
1500,781.0,1526.36693587,166000
1510,781.0,1539.89706945,167100
1520,783.0,1554.29833455,168200
1530,783.0,1566.07584587,169300
1540,783.0,1577.5899182,170400
1550,783.0,1590.25121542,171500
1560,781.0,1600.68365285,172600
1570,785.0,1611.27364638,173700
1580,779.0,1622.59972367,174800
1590,785.0,1631.33859589,175900
1600,783.0,1644.17510599,177000
1610,785.0,1659.62840204,178100
1620,787.0,1671.94687564,179200
1630,785.0,1682.69279376,180300
1640,789.0,1692.27844296,181400
1650,791.0,1701.3406772,182500
1660,791.0,1714.31923499,183600
1670,793.0,1724.70479499,184700
1680,793.0,1737.52826901,185800
1690,793.0,1748.95963638,186900
1700,793.0,1756.55857743,188000
1710,795.0,1770.39092342,189100
1720,797.0,1783.60028818,190200
1730,797.0,1800.80872445,191300
1740,795.0,1811.51012234,192400
1750,795.0,1822.63463572,193500
1760,791.0,1835.13455563,194600
1770,791.0,1851.74294229,195700
1780,791.0,1866.64093988,196800
1790,795.0,1875.38303236,197900
1800,791.0,1888.83315601,199000
1810,793.0,1901.63588775,200100
1820,795.0,1914.71760882,201200
1830,795.0,1926.83608179,202300
1840,791.0,1934.51081818,203400
1850,793.0,1945.34006323,204500
1860,795.0,1957.8467744,205600
1870,795.0,1968.63481129,206700
1880,795.0,1979.43660596,207800
1890,795.0,1988.87433218,208900
1900,793.0,1996.00669902,210000
1910,793.0,2003.96610599,211100
1920,795.0,2015.31487612,212200
1930,793.0,2030.27377735,213300
1940,795.0,2046.14337465,214400
1950,793.0,2053.99039933,215500
1960,793.0,2063.98975377,216600
1970,795.0,2075.00808209,217700
1980,797.0,2085.13718382,218800
1990,795.0,2094.52171352,219900
2000,795.0,2105.8636622,221000
2010,795.0,2114.07805782,222100
2020,795.0,2124.66592444,223200
2030,793.0,2135.99845899,224300
