iterations,fitness,time,fevals
0,499.0,6.0999e-05,11
10,499.0,0.000125948,21
20,503.0,0.000185468,31
30,505.0,0.000238628,41
40,507.0,0.000304646,51
50,509.0,0.000388763000001,61
60,513.0,0.000445529,71
70,515.0,0.000503287,81
80,517.0,0.000550839,91
90,519.0,0.000603778,101
100,519.0,0.000650116,111
110,527.0,0.000699622,121
120,529.0,0.000781718999999,131
130,531.0,0.000862762999999,141
140,533.0,0.000946670999999,151
150,535.0,0.001010813,161
160,537.0,0.001067124,171
170,541.0,0.001134184,181
180,545.0,0.001189511,191
190,547.0,0.001238858,201
200,553.0,0.001286679,211
210,553.0,0.001335233,221
220,553.0,0.001383456,231
230,555.0,0.00144055,241
240,555.0,0.001493532,251
250,557.0,0.001545253,261
260,559.0,0.001596041,271
270,563.0,0.001783913,281
280,569.0,0.001836624,291
290,571.0,0.001936505,301
300,575.0,0.001987417,311
310,575.0,0.002037835,321
320,575.0,0.00209026,331
330,575.0,0.002153919,341
340,579.0,0.002213732,351
350,585.0,0.002286486,361
360,585.0,0.002356315,371
370,587.0,0.002414747,381
380,589.0,0.002460369,391
390,589.0,0.002507971,401
400,591.0,0.002562928,411
410,595.0,0.002611347,421
420,595.0,0.002684344,431
430,597.0,0.002831469,441
440,599.0,0.00289234,451
450,599.0,0.003233449,461
460,599.0,0.003302085,471
470,599.0,0.003364707,481
480,601.0,0.003419378,491
490,601.0,0.003466447,501
500,605.0,0.003711646,511
510,607.0,0.003763858,521
520,609.0,0.003811182,531
530,609.0,0.003865096,541
540,611.0,0.003917431,551
550,613.0,0.003969855,561
560,615.0,0.004066237,571
570,621.0,0.004131892,581
580,623.0,0.004196257,591
590,625.0,0.004255424,601
600,625.0,0.004306112,611
610,627.0,0.004370387,621
620,631.0,0.004434812,631
630,633.0,0.00450804,641
640,638.0,0.004637511,651
650,638.0,0.004711904,661
660,638.0,0.004799046,671
670,638.0,0.00484739,681
680,638.0,0.00490009,691
690,640.0,0.004947926,701
700,640.0,0.004994514,711
710,640.0,0.005041323,721
720,640.0,0.005192232,731
730,640.0,0.005248205,741
740,642.0,0.005320078,751
750,644.0,0.00537566,761
760,648.0,0.005430974,771
770,650.0,0.005486547,781
780,652.0,0.005538907,791
790,652.0,0.005637251,801
800,658.0,0.005846062,811
810,660.0,0.005898821,821
820,666.0,0.005948361,831
830,668.0,0.005998024,841
840,670.0,0.006054608,851
850,670.0,0.006126462,861
860,672.0,0.006188995,871
870,674.0,0.006240132,881
880,674.0,0.00629165,891
890,674.0,0.006443179,901
900,674.0,0.006497024,911
910,674.0,0.00655163,921
920,674.0,0.006602571,931
930,674.0,0.00665424,941
940,676.0,0.006963553,951
950,676.0,0.007020816,961
960,676.0,0.007090651,971
970,676.0,0.007170411,981
980,676.0,0.007239564,991
990,676.0,0.007301364,1001
1000,676.0,0.00736544,1011
1010,676.0,0.0074166,1021
1020,676.0,0.007465739,1031
1030,676.0,0.007521466,1041
1040,676.0,0.007588059,1051
1050,676.0,0.007644249,1061
1060,676.0,0.007706595,1071
1070,676.0,0.007767818,1081
1080,676.0,0.007827459,1091
1090,676.0,0.007873883,1101
1100,676.0,0.007918644,1111
1110,678.0,0.008108405,1121
1120,678.0,0.008216669,1131
1130,678.0,0.009783917,1141
1140,678.0,0.009840358,1151
1150,682.0,0.009889987,1161
1160,682.0,0.009939202,1171
1170,682.0,0.00998881,1181
1180,684.0,0.01003436,1191
1190,690.0,0.010084173,1201
1200,692.0,0.010132725,1211
1210,692.0,0.010193545,1221
1220,694.0,0.010247798,1231
1230,694.0,0.010387772,1241
1240,694.0,0.010439138,1251
1250,694.0,0.010577782,1261
1260,696.0,0.010649623,1271
1270,700.0,0.010698399,1281
1280,702.0,0.010780365,1291
1290,702.0,0.010841077,1301
1300,702.0,0.011019575,1311
1310,702.0,0.011088266,1321
1320,702.0,0.011139172,1331
1330,702.0,0.011186784,1341
1340,702.0,0.011234619,1351
1350,704.0,0.011290615,1361
1360,704.0,0.011341059,1371
1370,704.0,0.01139898,1381
1380,704.0,0.011783546,1391
1390,706.0,0.011848473,1401
1400,706.0,0.01459291,1411
1410,706.0,0.01476082,1421
1420,708.0,0.014815709,1431
1430,708.0,0.014887849,1441
1440,708.0,0.014948959,1451
1450,710.0,0.015031102,1461
1460,710.0,0.015413766,1471
1470,712.0,0.015474046,1481
1480,714.0,0.015532347,1491
1490,716.0,0.015590554,1501
1500,716.0,0.015644111,1511
1510,718.0,0.015698143,1521
1520,720.0,0.016047388,1531
1530,720.0,0.01610652,1541
1540,722.0,0.016161631,1551
1550,722.0,0.01622112,1561
1560,722.0,0.016290085,1571
1570,722.0,0.016351133,1581
1580,722.0,0.016406063,1591
1590,724.0,0.016471644,1601
1600,724.0,0.016522815,1611
1610,726.0,0.016677711,1621
1620,726.0,0.016725194,1631
1630,728.0,0.016772053,1641
1640,728.0,0.016817401,1651
1650,730.0,0.016864517,1661
1660,730.0,0.017100248,1671
1670,732.0,0.017258033,1681
1680,732.0,0.017315457,1691
1690,734.0,0.017378382,1701
1700,734.0,0.017632034,1711
1710,734.0,0.017683546,1721
1720,734.0,0.017741666,1731
1730,734.0,0.017794766,1741
1740,734.0,0.017881015,1751
1750,734.0,0.017931717,1761
1760,734.0,0.018027065,1771
1770,734.0,0.018091014,1781
1780,736.0,0.018152538,1791
1790,738.0,0.018218841,1801
1800,738.0,0.019769829,1811
1810,738.0,0.019825445,1821
1820,740.0,0.019932466,1831
1830,740.0,0.020096865,1841
1840,740.0,0.020152305,1851
1850,740.0,0.020211257,1861
1860,740.0,0.020337314,1871
1870,740.0,0.020391194,1881
1880,740.0,0.020443527,1891
1890,740.0,0.020489745,1901
1900,740.0,0.020566402,1911
1910,742.0,0.020634962,1921
1920,742.0,0.020683669,1931
1930,742.0,0.020741603,1941
1940,742.0,0.020798597,1951
1950,744.0,0.023250675,1961
1960,744.0,0.023329492,1971
1970,744.0,0.023397057,1981
1980,744.0,0.023466047,1991
1990,744.0,0.02351525,2001
2000,744.0,0.023664899,2011
2010,744.0,0.023716099,2021
2020,744.0,0.023797356,2031
2030,744.0,0.0238542,2041
2040,744.0,0.024036243,2051
2050,744.0,0.024107149,2061
2060,744.0,0.024170565,2071
2070,744.0,0.024232654,2081
2080,746.0,0.024288007,2091
2090,746.0,0.024342215,2101
2100,746.0,0.024390993,2111
2110,746.0,0.024446575,2121
2120,746.0,0.024514213,2131
2130,746.0,0.024562857,2141
2140,746.0,0.02462464,2151
2150,746.0,0.024733081,2161
2160,746.0,0.024962474,2171
2170,748.0,0.02502546,2181
2180,748.0,0.025099879,2191
2190,748.0,0.025156769,2201
2200,748.0,0.025219203,2211
2210,748.0,0.025274421,2221
2220,750.0,0.025343223,2231
2230,750.0,0.025403369,2241
2240,750.0,0.025632493,2251
2250,750.0,0.025697556,2261
2260,750.0,0.026086605,2271
2270,750.0,0.026134842,2281
2280,750.0,0.026237665,2291
2290,750.0,0.026354102,2301
2300,750.0,0.026480953,2311
2310,750.0,0.026604264,2321
2320,750.0,0.026721293,2331
2330,750.0,0.026847908,2341
2340,750.0,0.026963404,2351
2350,750.0,0.027083901,2361
2360,750.0,0.034216079,2371
2370,750.0,0.034324297,2381
2380,750.0,0.034457821,2391
2390,752.0,0.034578018,2401
2400,752.0,0.03469652,2411
2410,752.0,0.034936342,2421
2420,752.0,0.035057506,2431
2430,752.0,0.03538639,2441
2440,752.0,0.035500489,2451
2450,752.0,0.035634786,2461
2460,752.0,0.035765171,2471
2470,752.0,0.035902246,2481
2480,754.0,0.036125188,2491
2490,754.0,0.036578219,2501
2500,756.0,0.036744139,2511
2510,756.0,0.036858308,2521
2520,756.0,0.036972265,2531
2530,756.0,0.037078259,2541
2540,756.0,0.037199237,2551
2550,756.0,0.03730697,2561
2560,756.0,0.03741527,2571
2570,758.0,0.037534017,2581
2580,758.0,0.037653921,2591
2590,758.0,0.037792133,2601
2600,758.0,0.037950319,2611
2610,758.0,0.038063544,2621
2620,758.0,0.038180999,2631
2630,760.0,0.038701232,2641
2640,762.0,0.038865359,2651
2650,762.0,0.038988336,2661
2660,762.0,0.03914031,2671
2670,762.0,0.039259006,2681
2680,762.0,0.04024139,2691
2690,762.0,0.040367456,2701
2700,762.0,0.040557683,2711
2710,762.0,0.0406676,2721
2720,762.0,0.040782428,2731
2730,762.0,0.040892387,2741
2740,764.0,0.041059405,2751
2750,764.0,0.041450149,2761
2760,764.0,0.041661718,2771
2770,764.0,0.04184782,2781
2780,766.0,0.041991356,2791
2790,766.0,0.042088395,2801
