iterations,fitness,time,fevals
0,24.0,0.000556603,465
10,25.0,0.001089001,830
20,26.0,0.001536487,1199
30,26.0,0.001953831,1557
40,26.0,0.002508431,1925
50,26.0,0.003023643,2292
60,26.0,0.003764032,2659
70,26.0,0.004584328,3026
80,27.0,0.005161902,3398
90,26.0,0.006442146,3762
100,26.0,0.008282855,4133
110,26.0,0.008831697,4499
120,26.0,0.009281159,4862
130,27.0,0.009683459,5233
140,26.0,0.010131654,5600
150,27.0,0.010521518,5977
160,26.0,0.010928326,6336
170,28.0,0.011325062,6709
180,31.0,0.011817173,7078
190,31.0,0.012222011,7452
200,31.0,0.012786805,7820
210,31.0,0.013342268,8184
220,31.0,0.01397748,8552
230,32.0,0.01458573,8920
240,32.0,0.016165308,9287
250,32.0,0.017702345,9651
260,32.0,0.01814298,10014
270,33.0,0.018800697,10387
280,34.0,0.019184336,10746
290,34.0,0.019610263,11114
300,34.0,0.020003261,11466
310,34.0,0.020442399,11827
320,34.0,0.020836289,12196
330,35.0,0.021211851,12562
340,35.0,0.021600743,12929
350,35.0,0.021988634,13302
360,35.0,0.022493955,13673
370,36.0,0.022974594,14038
380,35.0,0.023381666,14404
390,35.0,0.023829427,14767
400,35.0,0.024409235,15138
410,35.0,0.025592225,15509
420,35.0,0.026230146,15880
430,34.0,0.02739174,16244
440,35.0,0.028109432,16609
450,35.0,0.028538721,16977
460,35.0,0.028954361,17349
470,36.0,0.0293418,17716
480,36.0,0.029740876,18088
490,35.0,0.030117733,18458
500,35.0,0.030477886,18828
510,36.0,0.030852624,19196
520,37.0,0.031216911,19557
530,36.0,0.03163986,19925
540,37.0,0.032165198,20291
550,36.0,0.032549711,20661
560,36.0,0.033131229,21020
570,36.0,0.033779484,21388
580,36.0,0.034485295,21753
590,37.0,0.035221755,22111
600,37.0,0.036163386,22481
610,37.0,0.036719215,22852
620,38.0,0.037198672,23219
630,38.0,0.037583514,23589
640,41.0,0.037968223,23950
650,40.0,0.038404972,24323
660,41.0,0.038818719,24695
670,41.0,0.039227999,25055
680,40.0,0.03971584,25420
690,41.0,0.040109694,25785
700,41.0,0.040525054,26145
710,41.0,0.041100853,26517
720,42.0,0.041680023,26875
730,42.0,0.042133524,27241
740,43.0,0.042689734,27603
750,41.0,0.043479799,27980
760,42.0,0.04418976,28348
770,42.0,0.04532802,28719
780,42.0,0.046419224,29081
790,41.0,0.046815326,29448
800,41.0,0.047215146,29807
810,40.0,0.047626755,30173
820,41.0,0.048005256,30547
830,41.0,0.048434505,30916
840,42.0,0.048812331,31284
850,41.0,0.049207546,31654
860,42.0,0.049623909,32019
870,42.0,0.050271575,32383
880,41.0,0.050637898,32752
890,41.0,0.051187098,33122
900,42.0,0.051715077,33496
910,42.0,0.052288076,33861
920,42.0,0.05290755,34234
930,41.0,0.053368973,34599
940,41.0,0.053772415,34965
950,41.0,0.054146245,35335
960,41.0,0.054534445,35700
970,43.0,0.054913765,36062
980,41.0,0.055264444,36425
990,43.0,0.055648888,36794
1000,43.0,0.05601601,37165
1010,43.0,0.056410291,37536
1020,43.0,0.056789122,37907
1030,42.0,0.057235575,38275
1040,44.0,0.057712994,38632
1050,42.0,0.058229775,38998
1060,43.0,0.05880421,39360
1070,42.0,0.059398762,39722
1080,41.0,0.060047923,40085
1090,42.0,0.06173014,40450
1100,42.0,0.063411654,40815
1110,41.0,0.06384979,41182
1120,42.0,0.064264665,41550
1130,41.0,0.064658794,41918
1140,42.0,0.065068942,42285
1150,41.0,0.065440693,42650
1160,42.0,0.065807695,43025
1170,46.0,0.066174846,43396
1180,47.0,0.066536704,43757
1190,46.0,0.066898252,44120
1200,46.0,0.06742823,44490
1210,47.0,0.067796218,44855
1220,47.0,0.068332667,45212
1230,47.0,0.068753892,45578
1240,48.0,0.069306843,45950
1250,48.0,0.070772312,46313
1260,47.0,0.071940567,46676
1270,46.0,0.072519132,47044
1280,47.0,0.073032798,47407
1290,47.0,0.073457699,47778
1300,46.0,0.073842952,48142
1310,47.0,0.074239395,48506
1320,47.0,0.074599911,48879
1330,47.0,0.074972164,49248
1340,47.0,0.075350597,49619
1350,48.0,0.075772799,49991
1360,46.0,0.076167468,50356
1370,46.0,0.076694394,50723
1380,45.0,0.077119687,51087
1390,45.0,0.077705648,51452
1400,46.0,0.078304912,51822
1410,46.0,0.078979192,52184
1420,47.0,0.079863358,52554
1430,46.0,0.080749611,52915
1440,46.0,0.081481195,53286
1450,45.0,0.081907246,53652
1460,45.0,0.0823576,54030
1470,45.0,0.082720685,54393
1480,45.0,0.083113348,54754
1490,45.0,0.083491093,55122
1500,46.0,0.083971567,55497
1510,46.0,0.084374386,55858
1520,45.0,0.084792351,56221
1530,47.0,0.085163409,56579
1540,46.0,0.085675395,56946
1550,46.0,0.08606231,57305
1560,45.0,0.086441037,57666
1570,45.0,0.086988318,58032
1580,45.0,0.087807004,58396
1590,45.0,0.088509084,58768
1600,45.0,0.088953249,59131
1610,45.0,0.089941672,59499
1620,45.0,0.090545316,59859
1630,45.0,0.091041512,60225
1640,45.0,0.091472638,60589
1650,45.0,0.091860012,60954
1660,45.0,0.092216834,61321
1670,45.0,0.092608168,61694
1680,46.0,0.092998065,62066
1690,46.0,0.093373485,62429
1700,47.0,0.093760467,62800
1710,47.0,0.094280898,63171
1720,47.0,0.094802527,63531
1730,48.0,0.095380336,63901
1740,48.0,0.096018936,64274
1750,48.0,0.096686586,64635
1760,48.0,0.097477084,64998
1770,48.0,0.098404683,65361
1780,48.0,0.09907079,65728
1790,48.0,0.09961202,66095
1800,48.0,0.099999119,66464
1810,48.0,0.100432302,66830
1820,48.0,0.100830837,67195
1830,48.0,0.101181521,67557
1840,48.0,0.10164882,67937
1850,49.0,0.102041737,68304
1860,49.0,0.102420822,68671
1870,50.0,0.102774304,69039
1880,49.0,0.1032924,69408
1890,49.0,0.103674286,69774
1900,50.0,0.104108626,70143
1910,49.0,0.104593331,70507
1920,49.0,0.105135149,70880
1930,48.0,0.105883171,71257
1940,48.0,0.106412565,71613
1950,49.0,0.107210286,71987
1960,49.0,0.108246658,72352
1970,49.0,0.108808669,72721
1980,48.0,0.109216249,73090
1990,48.0,0.109586084,73457
2000,48.0,0.109962636,73827
2010,48.0,0.110332681,74196
2020,49.0,0.110706899,74562
2030,48.0,0.111063698,74927
2040,50.0,0.111475611,75292
2050,49.0,0.111859319,75669
2060,49.0,0.112422951,76031
2070,47.0,0.112991347,76404
2080,47.0,0.113409257,76767
2090,47.0,0.114231237,77134
2100,48.0,0.115094302,77500
2110,49.0,0.116217157,77858
2120,49.0,0.116766802,78227
2130,49.0,0.117241799,78588
2140,49.0,0.117667587,78953
2150,50.0,0.118067633,79319
2160,50.0,0.118439189,79689
2170,50.0,0.118823589,80057
2180,52.0,0.119191959,80418
2190,50.0,0.119597241,80789
2200,50.0,0.120013005,81152
2210,51.0,0.120454896,81514
2220,51.0,0.121018513,81879
2230,51.0,0.121500737,82245
2240,50.0,0.122171752,82607
2250,50.0,0.122743946,82973
2260,50.0,0.124382606,83347
2270,50.0,0.125123517,83717
2280,50.0,0.126065195,84089
2290,51.0,0.126561851,84455
2300,52.0,0.126988293,84831
2310,51.0,0.127476987,85196
2320,52.0,0.127961263,85559
2330,54.0,0.128351003,85929
2340,52.0,0.128791948,86303
2350,52.0,0.12916363,86667
2360,53.0,0.12958149,87032
2370,52.0,0.129975386,87400
2380,53.0,0.130430848,87771
2390,52.0,0.13095647,88137
2400,53.0,0.131390711,88502
2410,57.0,0.131954416,88867
2420,55.0,0.132603936,89230
2430,54.0,0.133362466,89599
2440,53.0,0.134210984,89967
2450,54.0,0.134833475,90337
2460,54.0,0.135400172,90703
2470,55.0,0.135835299,91072
