iterations,fitness,time,fevals
0,20.0,0.092411427,1000
10,25.0,0.177739978,2100
20,27.0,0.252695403,3200
30,32.0,0.326276163,4300
40,32.0,0.395269497,5400
50,31.0,0.458140128,6500
60,31.0,0.520877399,7600
70,32.0,0.582671982,8700
80,34.0,0.6493184,9800
90,33.0,0.708615373,10900
100,34.0,0.770899429,12000
110,36.0,0.835657568,13100
120,32.0,0.898944731,14200
130,33.0,0.961376996,15300
140,34.0,1.020422314,16400
150,32.0,1.080300461,17500
160,33.0,1.140034385,18600
170,32.0,1.201891501,19700
180,32.0,1.262703434,20800
190,34.0,1.326739668,21900
200,33.0,1.389078051,23000
210,33.0,1.450568539,24100
220,33.0,1.510701181,25200
230,35.0,1.571082845,26300
240,34.0,1.633635055,27400
250,34.0,1.695684773,28500
260,34.0,1.756569665,29600
270,35.0,1.816882727,30700
280,34.0,1.878480771,31800
290,34.0,1.942773812,32900
300,34.0,2.00344075,34000
310,37.0,2.070007977,35100
320,35.0,2.132092706,36200
330,35.0,2.194022933,37300
340,35.0,2.255283805,38400
350,36.0,2.315264758,39500
360,35.0,2.376323796,40600
370,35.0,2.438833708,41700
380,36.0,2.502421724,42800
390,34.0,2.568246833,43900
400,35.0,2.628921284,45000
410,36.0,2.690387274,46100
420,35.0,2.75156956,47200
430,36.0,2.822185611,48300
440,37.0,2.891123426,49400
450,38.0,2.961082365,50500
460,37.0,3.068052075,51600
470,38.0,3.15932398,52700
480,39.0,3.230013706,53800
490,37.0,3.296970556,54900
500,40.0,3.375269621,56000
510,37.0,3.438159712,57100
520,37.0,3.498053738,58200
530,37.0,3.561223442,59300
540,39.0,3.622781545,60400
550,37.0,3.68326979,61500
560,37.0,3.747102943,62600
570,37.0,3.813855377,63700
580,38.0,3.875076261,64800
590,38.0,3.93488068,65900
600,38.0,3.997421068,67000
610,37.0,4.05942825,68100
620,39.0,4.124971299,69200
630,40.0,4.237473976,70300
640,37.0,4.29817699,71400
650,40.0,4.361278956,72500
660,39.0,4.423212022,73600
670,38.0,4.485833867,74700
680,39.0,4.546539597,75800
690,38.0,4.608637037,76900
700,39.0,4.671150898,78000
710,41.0,4.733630115,79100
720,41.0,4.796703504,80200
730,47.0,4.891932895,81300
740,42.0,4.964903873,82400
750,39.0,5.028165516,83500
760,44.0,5.094238266,84600
770,42.0,5.165990433,85700
780,42.0,5.277846821,86800
790,40.0,5.382001017,87900
800,41.0,5.454921679,89000
810,43.0,5.522133229,90100
820,42.0,5.589451852,91200
830,46.0,5.653750654,92300
