iterations,fitness,time,fevals
0,15.0,4.2461e-05,11
10,16.0,8.09740000003e-05,21
20,16.0,0.000180276,31
30,16.0,0.000208298,41
40,16.0,0.000238150000001,51
50,16.0,0.000271143000001,61
60,16.0,0.000295144000001,71
70,16.0,0.000318436000001,81
80,16.0,0.000342726000001,91
90,16.0,0.000374217000001,101
100,16.0,0.000404669000001,111
110,16.0,0.000461751000001,121
120,16.0,0.000506178000001,131
130,16.0,0.0005788,141
140,16.0,0.000610974000001,151
150,16.0,0.000642586000001,161
160,16.0,0.000669305000001,171
170,16.0,0.000695480000001,181
180,16.0,0.000722034000001,191
190,16.0,0.000749216000001,201
200,16.0,0.000810973000001,211
210,16.0,0.000832920000001,221
220,16.0,0.000860241000001,231
230,16.0,0.000893083000001,241
240,16.0,0.000923266000001,251
250,16.0,0.000952765000001,261
260,16.0,0.001021729,271
270,16.0,0.001091768,281
280,16.0,0.001136896,291
290,16.0,0.001167459,301
300,16.0,0.001225925,311
310,16.0,0.001317299,321
320,16.0,0.001346365,331
330,16.0,0.001403615,341
340,16.0,0.001429586,351
350,16.0,0.001454381,361
360,16.0,0.00152604,371
370,16.0,0.00155208,381
380,16.0,0.001571575,391
390,17.0,0.001591367,401
400,17.0,0.001637781,411
410,17.0,0.00166263,421
420,17.0,0.001684834,431
430,17.0,0.001702183,441
440,17.0,0.001718905,451
450,17.0,0.001738235,461
460,17.0,0.001756427,471
470,17.0,0.001776487,481
480,17.0,0.001798753,491
490,17.0,0.006695171,501
500,17.0,0.00673767,511
510,17.0,0.006871349,521
520,17.0,0.006909612,531
530,17.0,0.006939875,541
540,17.0,0.006964411,551
550,17.0,0.006986975,561
560,17.0,0.007009164,571
570,17.0,0.0070309,581
580,17.0,0.00705373,591
590,17.0,0.007076887,601
600,17.0,0.007098931,611
610,17.0,0.00712852,621
620,17.0,0.007422766,631
630,17.0,0.007445929,641
640,17.0,0.007469436,651
650,17.0,0.007491264,661
660,17.0,0.007584027,671
670,17.0,0.007617046,681
680,17.0,0.007648553,691
690,17.0,0.007677941,701
700,17.0,0.007704067,711
710,17.0,0.00783074,721
720,17.0,0.007854305,731
730,17.0,0.007875004,741
740,17.0,0.007895756,751
750,17.0,0.007917472,761
