iterations,fitness,time,fevals
0,13.0,2.89950000001e-05,11
10,12.0,5.38949999997e-05,21
20,11.0,8.05489999998e-05,31
30,14.0,0.000149513,41
40,15.0,0.000224029,51
50,15.0,0.000260128,61
60,15.0,0.000304945,71
70,15.0,0.000384546999999,81
80,15.0,0.000437622999999,91
90,16.0,0.000463034999999,101
100,16.0,0.000517749999998,111
110,16.0,0.000546426999999,121
120,16.0,0.000575770999999,131
130,16.0,0.000595837,141
140,17.0,0.000635636999999,151
150,17.0,0.000675208999999,161
160,17.0,0.000724050999999,171
170,17.0,0.000748905999998,181
180,18.0,0.000777906999998,191
190,18.0,0.000841557999998,201
200,18.0,0.000882011999998,211
210,18.0,0.000907531999998,221
220,18.0,0.000932215999998,231
230,18.0,0.000955011999998,241
240,18.0,0.000993240999997,251
250,19.0,0.001033412,261
260,20.0,0.001059028,271
270,20.0,0.001107448,281
280,20.0,0.001397335,291
290,20.0,0.00142538,301
300,20.0,0.001447514,311
310,21.0,0.001483425,321
320,21.0,0.001514627,331
330,21.0,0.001546927,341
340,21.0,0.001577099,351
350,21.0,0.002194194,361
360,21.0,0.002328463,371
370,21.0,0.002391808,381
380,21.0,0.002432903,391
390,21.0,0.002473729,401
400,24.0,0.003383011,411
410,25.0,0.003411437,421
420,25.0,0.003443363,431
430,27.0,0.003466107,441
440,28.0,0.00349681,451
450,28.0,0.003524895,461
460,28.0,0.003559078,471
470,28.0,0.003577467,481
480,31.0,0.003595427,491
490,31.0,0.003624809,501
500,31.0,0.003648152,511
510,31.0,0.00367643,521
520,32.0,0.003735307,531
530,32.0,0.003757993,541
540,32.0,0.003798093,551
550,32.0,0.003847491,561
560,32.0,0.003873694,571
570,33.0,0.003914445,581
580,33.0,0.003932845,591
590,33.0,0.003958542,601
600,34.0,0.003988025,611
610,34.0,0.004010149,621
620,34.0,0.004028627,631
630,34.0,0.004048381,641
640,34.0,0.004088584,651
650,34.0,0.004112285,661
660,34.0,0.00414337,671
670,34.0,0.004171874,681
680,34.0,0.004276147,691
690,34.0,0.004319275,701
700,34.0,0.004387579,711
710,34.0,0.004421549,721
720,34.0,0.004481212,731
730,34.0,0.004604752,741
740,34.0,0.004705179,751
750,34.0,0.004757816,761
760,34.0,0.004803523,771
770,34.0,0.004937212,781
780,34.0,0.004976477,791
790,34.0,0.005032038,801
800,34.0,0.005088968,811
810,34.0,0.00513917,821
820,34.0,0.005186208,831
830,34.0,0.005236502,841
840,34.0,0.005284128,851
850,34.0,0.005329841,861
860,34.0,0.005381821,871
870,34.0,0.005433477,881
880,34.0,0.005485493,891
890,34.0,0.005537629,901
900,34.0,0.005590728,911
910,34.0,0.005643168,921
920,34.0,0.005696314,931
930,34.0,0.005767667,941
940,34.0,0.005829788,951
950,34.0,0.005887363,961
960,34.0,0.005943731,971
970,34.0,0.006007505,981
980,34.0,0.006040202,991
990,34.0,0.006067766,1001
1000,34.0,0.006092902,1011
1010,34.0,0.006125713,1021
1020,34.0,0.006162102,1031
1030,34.0,0.006205438,1041
1040,34.0,0.006244088,1051
1050,34.0,0.006300225,1061
1060,43.0,0.006342481,1071
1070,43.0,0.006378681,1081
1080,44.0,0.006413509,1091
1090,45.0,0.006443409,1101
1100,45.0,0.006588736,1111
1110,45.0,0.00662641,1121
1120,45.0,0.006703633,1131
1130,45.0,0.00675998,1141
1140,45.0,0.006792804,1151
1150,45.0,0.00682757,1161
1160,45.0,0.006853737,1171
1170,45.0,0.006885403,1181
1180,45.0,0.006918927,1191
1190,45.0,0.006952078,1201
1200,45.0,0.006975799,1211
1210,45.0,0.006997957,1221
1220,45.0,0.00701976,1231
1230,45.0,0.007040838,1241
1240,45.0,0.007062745,1251
1250,45.0,0.007084318,1261
1260,45.0,0.007106464,1271
1270,45.0,0.007128271,1281
1280,45.0,0.007152454,1291
1290,45.0,0.00717837,1301
1300,45.0,0.007216809,1311
1310,45.0,0.007243398,1321
1320,45.0,0.00727072,1331
1330,45.0,0.007297126,1341
1340,45.0,0.007328449,1351
1350,45.0,0.007358285,1361
1360,45.0,0.007386366,1371
1370,45.0,0.007411752,1381
1380,45.0,0.007436947,1391
1390,45.0,0.007464001,1401
1400,45.0,0.007491066,1411
1410,45.0,0.007517226,1421
1420,45.0,0.007543162,1431
1430,45.0,0.007569604,1441
1440,45.0,0.007613318,1451
1450,45.0,0.0076511,1461
1460,45.0,0.007743632,1471
1470,45.0,0.00799833,1481
1480,45.0,0.008037924,1491
1490,45.0,0.008070335,1501
1500,45.0,0.008135787,1511
1510,45.0,0.008173394,1521
1520,45.0,0.00822054,1531
1530,45.0,0.008268224,1541
1540,45.0,0.008300229,1551
1550,45.0,0.008333074,1561
1560,45.0,0.00841904,1571
1570,45.0,0.008454463,1581
1580,45.0,0.008498864,1591
1590,45.0,0.008550635,1601
1600,45.0,0.008588097,1611
1610,45.0,0.008626322,1621
1620,46.0,0.00866351,1631
1630,51.0,0.008711506,1641
1640,52.0,0.008767156,1651
1650,52.0,0.008810062,1661
1660,52.0,0.008978009,1671
1670,52.0,0.009060883,1681
1680,52.0,0.009142673,1691
1690,52.0,0.009189469,1701
1700,52.0,0.009244154,1711
1710,52.0,0.009285949,1721
1720,52.0,0.009423494,1731
1730,52.0,0.009473963,1741
1740,52.0,0.00951189,1751
1750,52.0,0.009544278,1761
1760,52.0,0.009602382,1771
1770,52.0,0.009645614,1781
1780,52.0,0.009674396,1791
1790,52.0,0.009712483,1801
1800,52.0,0.00974474,1811
1810,52.0,0.009778146,1821
1820,52.0,0.009808327,1831
1830,52.0,0.009836434,1841
1840,52.0,0.009868879,1851
1850,52.0,0.009899173,1861
1860,52.0,0.009950711,1871
1870,52.0,0.01000771,1881
1880,52.0,0.010050417,1891
1890,52.0,0.010097653,1901
1900,52.0,0.010131241,1911
1910,52.0,0.010159346,1921
1920,52.0,0.010235049,1931
1930,52.0,0.0102741,1941
1940,54.0,0.01030955,1951
1950,54.0,0.010346748,1961
1960,54.0,0.010393695,1971
1970,55.0,0.010451167,1981
1980,55.0,0.010490477,1991
1990,55.0,0.010573468,2001
2000,55.0,0.01069369,2011
2010,58.0,0.011144006,2021
2020,58.0,0.011217798,2031
2030,58.0,0.011259477,2041
2040,58.0,0.011313505,2051
2050,58.0,0.011430594,2061
2060,58.0,0.011480751,2071
2070,58.0,0.011531682,2081
2080,58.0,0.011565737,2091
2090,58.0,0.011593894,2101
2100,58.0,0.011638631,2111
2110,58.0,0.011669828,2121
2120,58.0,0.011726317,2131
2130,58.0,0.011756739,2141
2140,58.0,0.011785658,2151
2150,58.0,0.011834145,2161
2160,58.0,0.011878327,2171
2170,58.0,0.011919563,2181
2180,58.0,0.011945746,2191
2190,58.0,0.011988477,2201
2200,58.0,0.01201745,2211
2210,58.0,0.01204933,2221
2220,58.0,0.012077948,2231
2230,58.0,0.012112035,2241
2240,58.0,0.01214642,2251
2250,58.0,0.012172167,2261
2260,58.0,0.012193717,2271
2270,58.0,0.01223629,2281
2280,58.0,0.012262015,2291
2290,58.0,0.01229082,2301
2300,58.0,0.012323159,2311
2310,58.0,0.012352198,2321
2320,59.0,0.012393001,2331
2330,59.0,0.012434786,2341
2340,59.0,0.012537783,2351
2350,59.0,0.012589008,2361
2360,59.0,0.012630833,2371
2370,59.0,0.012703235,2381
2380,59.0,0.012766683,2391
2390,59.0,0.012821303,2401
2400,59.0,0.0130101,2411
2410,59.0,0.013124388,2421
2420,59.0,0.013206797,2431
2430,59.0,0.013238919,2441
2440,59.0,0.013290996,2451
2450,59.0,0.013350968,2461
2460,59.0,0.013397772,2471
2470,59.0,0.013464795,2481
2480,59.0,0.013519244,2491
2490,59.0,0.013566781,2501
2500,59.0,0.013622613,2511
2510,60.0,0.013654343,2521
2520,61.0,0.013684127,2531
2530,62.0,0.013724921,2541
2540,62.0,0.013762979,2551
2550,63.0,0.013792017,2561
2560,63.0,0.013838524,2571
2570,63.0,0.013865572,2581
2580,64.0,0.013899765,2591
2590,64.0,0.013960729,2601
2600,75.0,0.014013124,2611
2610,75.0,0.01407091,2621
2620,75.0,0.014111152,2631
2630,75.0,0.014139314,2641
2640,75.0,0.014166558,2651
2650,75.0,0.014195348,2661
2660,75.0,0.014223433,2671
2670,75.0,0.014253778,2681
2680,75.0,0.014292899,2691
2690,75.0,0.014337768,2701
2700,75.0,0.014487638,2711
2710,75.0,0.014588869,2721
2720,75.0,0.014634077,2731
2730,75.0,0.014777232,2741
2740,75.0,0.014866484,2751
2750,75.0,0.014906858,2761
2760,75.0,0.015054164,2771
2770,75.0,0.015102637,2781
2780,75.0,0.01513165,2791
2790,75.0,0.015206206,2801
2800,75.0,0.015256269,2811
2810,75.0,0.015288271,2821
2820,75.0,0.015343925,2831
2830,75.0,0.015418398,2841
2840,75.0,0.01546191,2851
2850,75.0,0.015491242,2861
2860,75.0,0.015519214,2871
2870,75.0,0.015549492,2881
2880,75.0,0.015577406,2891
2890,75.0,0.015610276,2901
2900,75.0,0.015657385,2911
2910,75.0,0.015706032,2921
2920,75.0,0.015769233,2931
2930,75.0,0.015820659,2941
2940,75.0,0.015861399,2951
2950,75.0,0.01590135,2961
2960,75.0,0.015980674,2971
2970,75.0,0.016021525,2981
2980,77.0,0.016050425,2991
2990,77.0,0.016077962,3001
3000,78.0,0.016131469,3011
3010,78.0,0.016165175,3021
3020,80.0,0.016195494,3031
3030,80.0,0.01623167,3041
3040,80.0,0.016268442,3051
3050,80.0,0.016817692,3061
3060,80.0,0.016899462,3071
3070,80.0,0.016951027,3081
3080,80.0,0.017002383,3091
3090,80.0,0.017048652,3101
3100,80.0,0.017316969,3111
3110,80.0,0.017360572,3121
3120,80.0,0.01739777,3131
3130,80.0,0.017430412,3141
3140,81.0,0.017484617,3151
3150,81.0,0.017523554,3161
3160,81.0,0.017555603,3171
3170,82.0,0.017586129,3181
3180,82.0,0.017616983,3191
3190,82.0,0.017664729,3201
3200,82.0,0.017693259,3211
3210,82.0,0.017742675,3221
3220,82.0,0.01778731,3231
3230,82.0,0.017817354,3241
3240,82.0,0.017885492,3251
3250,82.0,0.017941616,3261
3260,83.0,0.018001298,3271
3270,83.0,0.018038998,3281
3280,83.0,0.018090733,3291
3290,83.0,0.01823094,3301
3300,83.0,0.018283987,3311
3310,83.0,0.018328833,3321
3320,83.0,0.018396008,3331
3330,83.0,0.018424311,3341
3340,83.0,0.018457431,3351
3350,83.0,0.018489447,3361
3360,83.0,0.018524615,3371
3370,84.0,0.01856449,3381
3380,84.0,0.018615256,3391
3390,84.0,0.018669525,3401
3400,84.0,0.018716825,3411
3410,84.0,0.018754861,3421
3420,93.0,0.018831333,3431
3430,93.0,0.018878917,3441
3440,93.0,0.018936995,3451
3450,94.0,0.018981046,3461
3460,94.0,0.019014915,3471
3470,95.0,0.019052875,3481
3480,95.0,0.019086398,3491
3490,95.0,0.0191163,3501
3500,95.0,0.019148605,3511
3510,95.0,0.019206397,3521
3520,95.0,0.019252397,3531
3530,95.0,0.019290031,3541
3540,95.0,0.01936622,3551
3550,95.0,0.019403698,3561
3560,95.0,0.019428444,3571
3570,95.0,0.019490632,3581
3580,95.0,0.019518591,3591
3590,95.0,0.019552446,3601
3600,95.0,0.019728902,3611
3610,95.0,0.019768524,3621
3620,95.0,0.01980878,3631
3630,95.0,0.019843308,3641
3640,95.0,0.019882565,3651
3650,95.0,0.019924331,3661
3660,95.0,0.019966807,3671
3670,95.0,0.020004381,3681
3680,95.0,0.020040659,3691
3690,95.0,0.020119218,3701
3700,95.0,0.020165814,3711
3710,95.0,0.020365586,3721
3720,95.0,0.020393778,3731
3730,95.0,0.020418871,3741
3740,95.0,0.020465871,3751
3750,96.0,0.020486116,3761
3760,96.0,0.020507457,3771
3770,96.0,0.02053005,3781
3780,98.0,0.020549024,3791
3790,98.0,0.02056837,3801
3800,98.0,0.020632012,3811
3810,98.0,0.020677173,3821
3820,98.0,0.020725794,3831
3830,98.0,0.021970779,3841
3840,98.0,0.02199354,3851
3850,98.0,0.022013173,3861
3860,98.0,0.022053114,3871
3870,98.0,0.022072011,3881
3880,98.0,0.022093229,3891
3890,98.0,0.02215781,3901
3900,98.0,0.02217646,3911
3910,98.0,0.022234411,3921
3920,98.0,0.022982462,3931
3930,98.0,0.023064865,3941
3940,98.0,0.023109172,3951
3950,98.0,0.023128877,3961
3960,98.0,0.023188182,3971
3970,98.0,0.023222637,3981
3980,98.0,0.023240407,3991
3990,99.0,0.023274571,4001
4000,99.0,0.023293417,4011
4010,99.0,0.023312373,4021
4020,99.0,0.023330408,4031
4030,99.0,0.023349053,4041
4040,99.0,0.023367801,4051
4050,99.0,0.023411477,4061
4060,99.0,0.023457165,4071
4070,99.0,0.023491672,4081
4080,99.0,0.02396139,4091
4090,99.0,0.023989872,4101
4100,99.0,0.024025617,4111
4110,99.0,0.024052061,4121
4120,99.0,0.024081961,4131
4130,99.0,0.024112491,4141
4140,99.0,0.02413651,4151
4150,99.0,0.024160133,4161
4160,99.0,0.024180213,4171
4170,99.0,0.024202339,4181
4180,99.0,0.024223383,4191
4190,99.0,0.024246802,4201
4200,99.0,0.024270939,4211
4210,99.0,0.024294483,4221
4220,99.0,0.024317582,4231
4230,99.0,0.024337909,4241
4240,99.0,0.024381816,4251
4250,99.0,0.024414387,4261
4260,99.0,0.024442571,4271
4270,99.0,0.024474099,4281
4280,99.0,0.024505446,4291
4290,99.0,0.024535767,4301
4300,99.0,0.024561252,4311
4310,99.0,0.024803225,4321
4320,99.0,0.024906678,4331
4330,99.0,0.02493124,4341
4340,99.0,0.024954912,4351
4350,99.0,0.024977055,4361
4360,99.0,0.024999742,4371
4370,99.0,0.025021312,4381
4380,99.0,0.025041763,4391
4390,99.0,0.025102212,4401
4400,99.0,0.025135871,4411
4410,99.0,0.025165659,4421
4420,99.0,0.025192324,4431
4430,99.0,0.025217243,4441
4440,99.0,0.025241886,4451
4450,99.0,0.025307081,4461
4460,99.0,0.025363185,4471
4470,99.0,0.025388134,4481
4480,99.0,0.025422935,4491
4490,99.0,0.025457318,4501
4500,99.0,0.025523227,4511
4510,99.0,0.025574057,4521
4520,99.0,0.025599668,4531
4530,99.0,0.025644641,4541
4540,99.0,0.025746432,4551
4550,99.0,0.025775406,4561
4560,99.0,0.025814297,4571
4570,99.0,0.025849465,4581
4580,99.0,0.025994298,4591
4590,99.0,0.026023989,4601
4600,99.0,0.026047415,4611
4610,99.0,0.026070509,4621
4620,99.0,0.026095409,4631
4630,99.0,0.026121181,4641
4640,99.0,0.026145584,4651
4650,99.0,0.026168421,4661
4660,99.0,0.026193626,4671
4670,99.0,0.026222977,4681
4680,99.0,0.026271022,4691
4690,99.0,0.026319402,4701
4700,99.0,0.026349871,4711
4710,99.0,0.026473469,4721
4720,99.0,0.026499867,4731
4730,99.0,0.026527445,4741
4740,99.0,0.026564462,4751
4750,99.0,0.026586971,4761
4760,99.0,0.026606071,4771
4770,99.0,0.026625455,4781
4780,99.0,0.026660721,4791
4790,99.0,0.026697472,4801
4800,99.0,0.026723764,4811
4810,99.0,0.026742927,4821
4820,99.0,0.026779734,4831
4830,99.0,0.026838115,4841
4840,99.0,0.026878838,4851
4850,99.0,0.026896752,4861
4860,99.0,0.026914533,4871
4870,99.0,0.026932432,4881
4880,99.0,0.026967967,4891
4890,99.0,0.026998924,4901
4900,99.0,0.027058237,4911
4910,99.0,0.027205414,4921
4920,99.0,0.027241975,4931
4930,99.0,0.027270554,4941
4940,99.0,0.027314685,4951
4950,99.0,0.027365041,4961
4960,99.0,0.027424712,4971
4970,99.0,0.027451302,4981
4980,99.0,0.027471711,4991
4990,99.0,0.027496877,5001
5000,99.0,0.027524635,5011
