iterations,fitness,time,fevals
0,538.0,0.051512043,724
10,543.0,0.077651919,1341
20,542.0,0.096250844,1973
30,541.0,0.115382313,2608
40,540.0,0.123309449,3233
50,546.0,0.127833661,3842
60,538.0,0.133489756,4483
70,552.0,0.139781313,5111
80,547.0,0.14517567,5743
90,540.0,0.156263835,6363
100,542.0,0.160563977,6982
110,542.0,0.168664515,7612
120,538.0,0.182157858,8257
130,538.0,0.185647097,8891
140,540.0,0.195714063,9519
150,546.0,0.199801911,10159
160,556.0,0.203812029,10795
170,558.0,0.209983574,11429
180,546.0,0.214502994,12056
190,540.0,0.219000078,12688
200,540.0,0.240640884,13313
210,544.0,0.254262617,13940
220,542.0,0.263820607,14563
230,546.0,0.271349874,15212
240,542.0,0.281965639,15830
250,542.0,0.287536675,16455
260,544.0,0.295560112,17077
270,548.0,0.299557174,17704
280,548.0,0.308124955,18345
290,546.0,0.313451806,18990
300,544.0,0.320022186,19621
310,542.0,0.326991154,20256
320,546.0,0.333012519,20883
330,552.0,0.339253858,21510
340,552.0,0.348031313,22129
350,554.0,0.35560236,22759
360,548.0,0.362749537,23391
370,550.0,0.370204907,24035
380,548.0,0.374543964,24664
390,550.0,0.385119986,25291
400,548.0,0.389283289,25931
410,544.0,0.397213673,26544
420,546.0,0.400329876,27194
430,546.0,0.413021175,27831
440,544.0,0.416383668,28452
450,548.0,0.428113068,29089
460,546.0,0.439948705,29713
470,546.0,0.443965699,30348
480,546.0,0.447744449,30975
490,552.0,0.455409092,31594
500,546.0,0.466200122,32233
510,554.0,0.483989155,32860
520,550.0,0.488995005,33486
530,552.0,0.492656181,34116
540,550.0,0.496424302,34733
550,548.0,0.504006849,35372
560,556.0,0.507940628,35991
570,554.0,0.562695998,36626
580,552.0,0.569217581,37252
590,552.0,0.587061329,37889
600,556.0,0.611872138,38522
610,552.0,0.616132049,39158
620,554.0,0.637980014,39775
630,550.0,0.641800122,40399
640,548.0,0.652740939,41054
650,544.0,0.658695858,41675
660,548.0,0.677487109,42299
670,548.0,0.681281423,42932
680,548.0,0.693781525,43560
690,546.0,0.708406105,44195
700,546.0,0.711666119,44815
710,546.0,0.719195444,45447
720,552.0,0.724795407,46081
730,544.0,0.72905484,46715
740,544.0,0.73829338,47353
750,544.0,0.742608385,47975
760,544.0,0.763166884,48591
770,542.0,0.769405784,49219
780,546.0,0.781522081,49855
790,550.0,0.784923118,50474
800,550.0,0.793579313,51120
810,548.0,0.796852829,51751
820,552.0,0.805395768,52384
830,554.0,0.81169401,53006
840,554.0,0.815807799,53645
850,556.0,0.824269067,54284
860,556.0,0.827886831,54919
870,552.0,0.838677761,55548
880,558.0,0.842255692,56167
890,558.0,0.854389197,56799
900,560.0,0.861604027,57423
910,562.0,0.869930818,58048
920,564.0,0.872835664,58676
930,564.0,0.882954124,59309
940,566.0,0.886322507,59943
950,560.0,0.89016481,60565
960,562.0,0.897136536,61190
970,564.0,0.900541415,61827
980,564.0,0.908985487,62472
990,564.0,0.915312957,63110
1000,564.0,0.923262699,63742
1010,560.0,0.926884118,64371
1020,560.0,0.937774217,64990
1030,560.0,0.942807271,65633
1040,564.0,0.955915542,66258
1050,564.0,0.959035029,66894
1060,562.0,0.967943514,67532
1070,562.0,0.971044531,68166
1080,566.0,0.981950841,68795
1090,564.0,0.985325148,69421
1100,560.0,0.98902057,70074
1110,562.0,0.998519928,70715
1120,562.0,1.002077687,71333
1130,560.0,1.013073743,71954
1140,560.0,1.01652538,72580
1150,564.0,1.0294833,73200
1160,564.0,1.034689107,73831
1170,562.0,1.042496097,74467
1180,558.0,1.045721789,75106
1190,560.0,1.058263106,75741
1200,558.0,1.061818503,76365
1210,558.0,1.073369486,77000
1220,558.0,1.077384596,77634
1230,560.0,1.088941393,78263
1240,562.0,1.092386684,78894
1250,566.0,1.104243442,79521
1260,568.0,1.108049556,80155
1270,570.0,1.120106108,80778
1280,562.0,1.124398384,81399
1290,566.0,1.131360262,82033
1300,566.0,1.135530245,82660
1310,560.0,1.143137687,83287
1320,558.0,1.146527732,83914
1330,560.0,1.152385169,84547
1340,558.0,1.160646138,85178
1350,558.0,1.16432985,85808
1360,558.0,1.172942073,86435
1370,556.0,1.176878791,87062
1380,558.0,1.185734004,87695
1390,558.0,1.19046859,88320
1400,558.0,1.203027312,88954
1410,556.0,1.206467568,89583
1420,554.0,1.215651339,90223
1430,556.0,1.218681385,90843
1440,554.0,1.230248309,91475
1450,556.0,1.234834632,92115
1460,560.0,1.243668835,92754
1470,560.0,1.246864626,93394
1480,554.0,1.258938015,94016
1490,554.0,1.262359596,94645
1500,552.0,1.275170059,95269
1510,550.0,1.278249795,95897
1520,554.0,1.29419667,96516
1530,554.0,1.306995605,97136
1540,554.0,1.309998951,97758
1550,554.0,1.323443954,98394
1560,554.0,1.32688902,99026
1570,554.0,1.338749169,99645
1580,550.0,1.341639366,100269
1590,552.0,1.354452884,100914
1600,552.0,1.360061263,101553
1610,556.0,1.367754589,102186
1620,556.0,1.371032201,102808
1630,554.0,1.38257363,103448
1640,555.0,1.386733942,104079
1650,556.0,1.398902164,104707
1660,554.0,1.402114843,105336
1670,560.0,1.414815057,105964
1680,562.0,1.418474008,106584
1690,558.0,1.429002318,107207
1700,560.0,1.432215327,107853
1710,566.0,1.445287519,108479
1720,564.0,1.450587135,109105
1730,564.0,1.458798791,109738
1740,564.0,1.4624502,110367
1750,566.0,1.472470854,110993
1760,566.0,1.476004567,111626
1770,568.0,1.493810247,112255
1780,566.0,1.499283933,112880
1790,562.0,1.510073362,113504
1800,564.0,1.516697937,114133
1810,564.0,1.529726379,114763
1820,562.0,1.534868566,115403
1830,566.0,1.54629945,116014
1840,568.0,1.550256467,116659
1850,566.0,1.559109772,117291
1860,566.0,1.564057661,117923
1870,566.0,1.576330619,118552
1880,566.0,1.579826848,119184
1890,566.0,1.592241784,119813
1900,572.0,1.595567772,120446
1910,572.0,1.600564108,121064
1920,570.0,1.608091317,121697
1930,572.0,1.611509627,122323
1940,568.0,1.622302017,122957
1950,568.0,1.62656037,123582
1960,574.0,1.635182502,124226
1970,568.0,1.640201341,124856
1980,570.0,1.649283073,125483
1990,570.0,1.654620975,126112
2000,570.0,1.657592596,126742
2010,562.0,1.667637966,127384
2020,562.0,1.671592216,128020
2030,570.0,1.681640186,128637
2040,564.0,1.687361306,129262
2050,564.0,1.693619173,129892
2060,564.0,1.697718146,130521
2070,558.0,1.710413863,131149
2080,560.0,1.714820564,131786
2090,564.0,1.726070842,132414
2100,560.0,1.729129133,133062
2110,562.0,1.740247714,133696
2120,564.0,1.7447964,134332
2130,570.0,1.752972119,134986
2140,562.0,1.75659898,135604
2150,564.0,1.76715006,136227
2160,560.0,1.774790239,136864
2170,562.0,1.783681522,137491
2180,564.0,1.788325936,138124
2190,564.0,1.796896031,138748
2200,562.0,1.804048224,139375
2210,566.0,1.816423613,139994
2220,564.0,1.819878798,140617
2230,564.0,1.831127481,141250
2240,566.0,1.834827939,141883
2250,572.0,1.845738539,142506
2260,570.0,1.849958596,143138
2270,572.0,1.861866136,143765
2280,570.0,1.864600888,144396
2290,569.0,1.875963061,145031
2300,570.0,1.87939947,145652
2310,566.0,1.888311525,146290
2320,566.0,1.893038267,146919
2330,568.0,1.903997356,147542
2340,566.0,1.907334551,148172
2350,566.0,1.911989681,148812
2360,570.0,1.920559432,149436
2370,570.0,1.929194054,150070
2380,562.0,1.935613315,150699
2390,564.0,1.93893738,151340
2400,566.0,1.95012308,151973
2410,562.0,1.953489557,152613
2420,566.0,1.963699912,153235
2430,570.0,1.967169831,153863
2440,568.0,1.972188799,154498
2450,568.0,1.980245485,155116
2460,572.0,1.990391052,155747
2470,566.0,1.994172731,156368
2480,566.0,2.005507196,157002
2490,568.0,2.008723048,157631
2500,566.0,2.016679917,158272
2510,566.0,2.022132712,158901
2520,568.0,2.032852851,159525
2530,568.0,2.036559012,160152
2540,568.0,2.040118551,160782
2550,564.0,2.048237962,161413
2560,562.0,2.051405574,162035
2570,564.0,2.056094762,162665
2580,568.0,2.064157489,163312
2590,570.0,2.068089987,163944
2600,570.0,2.077398443,164569
2610,572.0,2.0804278,165197
2620,570.0,2.086632722,165831
2630,566.0,2.096189822,166464
2640,566.0,2.107240174,167084
2650,564.0,2.109868592,167698
2660,564.0,2.119787487,168323
2670,566.0,2.123753951,168952
2680,566.0,2.133543141,169579
2690,572.0,2.136846564,170203
2700,572.0,2.140161683,170833
2710,572.0,2.151341306,171467
2720,572.0,2.155465379,172104
2730,568.0,2.168361365,172738
2740,570.0,2.176491999,173374
2750,568.0,2.180804808,173996
2760,570.0,2.183751859,174629
2770,572.0,2.196305328,175257
2780,568.0,2.199847986,175886
2790,568.0,2.211637011,176505
2800,570.0,2.215172002,177135
2810,570.0,2.225567084,177755
2820,574.0,2.228494138,178393
2830,572.0,2.239384851,179018
2840,576.0,2.242633348,179651
2850,578.0,2.245796065,180281
2860,572.0,2.256517037,180910
2870,576.0,2.259582056,181561
2880,576.0,2.267508907,182178
2890,582.0,2.271567688,182817
2900,576.0,2.275588476,183441
2910,576.0,2.285966415,184062
2920,578.0,2.289408487,184685
2930,576.0,2.301241959,185307
2940,574.0,2.304709064,185930
2950,578.0,2.315899346,186549
2960,578.0,2.318873126,187191
2970,578.0,2.322717049,187817
2980,578.0,2.329914965,188450
2990,578.0,2.334063942,189083
3000,576.0,2.343876584,189713
