iterations,fitness,time,fevals
0,554.0,11.718252108,1000
10,561.0,23.230279744,2100
20,610.0,34.910707589,3200
30,636.0,45.574163509,4300
40,664.0,55.877916948,5400
50,678.0,66.222875518,6500
60,688.0,76.456323011,7600
70,706.0,86.491273279,8700
80,714.0,96.285479634,9800
90,724.0,106.197474338,10900
100,740.0,115.158235719,12000
110,756.0,124.583409531,13100
120,750.0,133.918890839,14200
130,758.0,143.025222161,15300
140,760.0,152.307416169,16400
150,764.0,162.69119384,17500
160,760.0,180.019577327,18600
170,776.0,189.912096423,19700
180,766.0,199.360671972,20800
190,766.0,209.217391308,21900
200,768.0,218.742054983,23000
210,784.0,227.846862275,24100
220,770.0,236.625315416,25200
230,780.0,245.767739043,26300
240,780.0,254.88640534,27400
250,770.0,263.935235897,28500
260,760.0,273.448985581,29600
270,772.0,282.357004512,30700
280,776.0,291.278032553,31800
290,774.0,300.775902397,32900
300,782.0,310.03294733,34000
310,782.0,319.311657135,35100
320,774.0,334.577980903,36200
330,774.0,346.039328025,37300
340,766.0,357.190842126,38400
350,780.0,368.659571115,39500
360,780.0,378.763001883,40600
370,780.0,389.462660269,41700
380,782.0,400.384722592,42800
390,780.0,410.403509424,43900
400,776.0,420.943239258,45000
410,794.0,431.419649748,46100
420,792.0,441.921172629,47200
430,782.0,451.811785111,48300
440,770.0,462.251760464,49400
450,786.0,471.89008922,50500
460,784.0,481.437056289,51600
470,774.0,491.22124571,52700
480,780.0,502.179876528,53800
490,778.0,512.65829845,54900
500,792.0,525.164389437,56000
510,778.0,535.780011535,57100
520,792.0,550.332101936,58200
530,790.0,560.36022818,59300
540,786.0,569.861847942,60400
550,790.0,582.938995034,61500
560,786.0,596.82824064,62600
570,796.0,607.677299634,63700
580,792.0,617.584284952,64800
590,782.0,628.792059819,65900
600,776.0,638.63903172,67000
610,796.0,648.394615489,68100
620,792.0,658.440236909,69200
630,795.0,668.646884489,70300
640,790.0,678.80950302,71400
650,794.0,687.90632868,72500
660,792.0,698.01394075,73600
670,790.0,708.492511472,74700
680,780.0,718.568076598,75800
690,786.0,729.51545436,76900
700,782.0,739.254363048,78000
710,782.0,749.45718238,79100
720,780.0,759.84576744,80200
730,792.0,770.150682283,81300
740,788.0,780.059556327,82400
750,794.0,791.212380884,83500
760,781.0,801.10055241,84600
770,791.0,811.772169597,85700
780,783.0,822.713916994,86800
790,785.0,832.621120522,87900
800,787.0,842.550469371,89000
810,779.0,856.318018884,90100
820,795.0,867.465385149,91200
830,791.0,879.325001489,92300
840,793.0,891.190662913,93400
850,789.0,901.465943101,94500
860,789.0,910.499483766,95600
870,795.0,919.844791967,96700
880,801.0,929.123381528,97800
890,785.0,939.610071641,98900
900,793.0,950.855559555,100000
910,791.0,959.948527632,101100
920,787.0,969.060650528,102200
930,792.0,978.271682865,103300
940,788.0,991.241983032,104400
950,786.0,1009.09731431,105500
960,776.0,1022.18233035,106600
970,786.0,1037.44134865,107700
980,794.0,1053.06988035,108800
990,790.0,1069.9774767,109900
1000,798.0,1081.8816654,111000
1010,782.0,1091.70762272,112100
1020,786.0,1103.0208333,113200
1030,780.0,1117.53747469,114300
1040,786.0,1127.44857953,115400
1050,792.0,1136.62211128,116500
1060,786.0,1146.392089,117600
1070,782.0,1155.72176798,118700
1080,792.0,1165.35472586,119800
1090,795.0,1175.70891774,120900
1100,786.0,1185.43215868,122000
1110,792.0,1195.00214324,123100
1120,796.0,1204.48731245,124200
1130,796.0,1218.4608732,125300
1140,786.0,1228.65892373,126400
1150,786.0,1240.50866274,127500
1160,792.0,1251.38473483,128600
1170,788.0,1262.40927847,129700
1180,786.0,1271.55289819,130800
1190,800.0,1280.73272723,131900
1200,802.0,1291.79319654,133000
1210,796.0,1304.35141681,134100
1220,797.0,1315.01946098,135200
1230,784.0,1325.87740801,136300
1240,792.0,1335.00247089,137400
1250,786.0,1345.30059045,138500
1260,781.0,1357.46736046,139600
1270,800.0,1371.34315445,140700
1280,806.0,1382.37457843,141800
