iterations,fitness,time,fevals
0,517.0,6.1866e-05,11
10,527.0,0.000195888,21
20,529.0,0.000842302,31
30,529.0,0.000897123,41
40,537.0,0.000942893,51
50,537.0,0.00105129,61
60,537.0,0.00112897,71
70,537.0,0.00124834,81
80,539.0,0.001362701,91
90,539.0,0.001425466,101
100,539.0,0.001538075,111
110,541.0,0.001614965,121
120,545.0,0.001673474,131
130,545.0,0.001742802,141
140,547.0,0.001808477,151
150,547.0,0.001870343,161
160,553.0,0.00192929,171
170,557.0,0.001982011,181
180,557.0,0.002036731,191
190,561.0,0.00208737,201
200,563.0,0.002171011,211
210,563.0,0.002224124,221
220,567.0,0.002293205,231
230,567.0,0.002355337,241
240,571.0,0.002419463,251
250,573.0,0.002468809,261
260,573.0,0.002535859,271
270,573.0,0.002596541,281
280,577.0,0.002646802,291
290,585.0,0.00274628,301
300,585.0,0.002800489,311
310,585.0,0.002889292,321
320,585.0,0.00296688,331
330,589.0,0.003036662,341
340,591.0,0.003112935,351
350,591.0,0.003172954,361
360,591.0,0.003230712,371
370,591.0,0.003297916,381
380,591.0,0.003368061,391
390,591.0,0.003419712,401
400,591.0,0.00436094,411
410,591.0,0.004416953,421
420,593.0,0.004467983,431
430,595.0,0.004517304,441
440,597.0,0.004568426,451
450,597.0,0.004627343,461
460,599.0,0.004677393,471
470,599.0,0.004735017,481
480,601.0,0.00479616,491
490,603.0,0.004851908,501
500,605.0,0.004904148,511
510,605.0,0.004954706,521
520,607.0,0.005024894,531
530,607.0,0.00508389,541
540,607.0,0.005137889,551
550,607.0,0.005185316,561
560,607.0,0.005248773,571
570,607.0,0.005465866,581
580,607.0,0.005551261,591
590,607.0,0.005615093,601
600,609.0,0.005668941,611
610,613.0,0.005722467,621
620,613.0,0.005772572,631
630,613.0,0.005827783,641
640,613.0,0.00599687,651
650,613.0,0.006065686,661
660,613.0,0.006173818,671
670,613.0,0.006237911,681
680,613.0,0.006299737,691
690,613.0,0.006352522,701
700,613.0,0.006409204,711
710,613.0,0.006462166,721
720,613.0,0.006510646,731
730,613.0,0.006564994,741
740,615.0,0.006617231,751
750,619.0,0.006674957,761
760,619.0,0.006722733,771
770,623.0,0.00677218,781
780,625.0,0.006822581,791
790,625.0,0.006874058,801
800,625.0,0.006997413,811
810,627.0,0.007059396,821
820,627.0,0.00711646,831
830,627.0,0.007171453,841
840,629.0,0.007225216,851
850,629.0,0.007280389,861
860,631.0,0.007332287,871
870,633.0,0.007387997,881
880,633.0,0.007433777,891
890,633.0,0.007480286,901
900,635.0,0.007533342,911
910,635.0,0.007581535,921
920,637.0,0.007630554,931
930,639.0,0.007678664,941
940,639.0,0.007731837,951
950,639.0,0.007790062,961
960,641.0,0.00802048,971
970,641.0,0.008085291,981
980,641.0,0.008152896,991
990,643.0,0.008224425,1001
1000,643.0,0.008288107,1011
1010,643.0,0.008343979,1021
1020,645.0,0.008457328,1031
1030,647.0,0.009051509,1041
1040,647.0,0.009106122,1051
1050,649.0,0.009154183,1061
1060,649.0,0.009269934,1071
1070,649.0,0.009720975,1081
1080,655.0,0.009778115,1091
1090,655.0,0.009835017,1101
1100,657.0,0.010824783,1111
1110,659.0,0.010885554,1121
1120,661.0,0.010942231,1131
1130,661.0,0.011011908,1141
1140,661.0,0.011133361,1151
1150,663.0,0.011190277,1161
1160,665.0,0.011249329,1171
1170,665.0,0.011319539,1181
1180,667.0,0.011386193,1191
1190,669.0,0.011774674,1201
1200,671.0,0.011834995,1211
1210,671.0,0.011908767,1221
1220,671.0,0.011970026,1231
1230,671.0,0.012015711,1241
1240,671.0,0.012066401,1251
1250,671.0,0.012120764,1261
1260,671.0,0.012168218,1271
1270,675.0,0.012285965,1281
1280,675.0,0.01234456,1291
1290,675.0,0.012394043,1301
1300,677.0,0.012461981,1311
