iterations,fitness,time,fevals
0,509.0,0.000437549999999,11
10,503.0,0.000487167999999,21
20,503.0,0.000644572999999,31
30,501.0,0.000704252999999,41
40,505.0,0.000753343999998,51
50,505.0,0.000789425999997,61
60,507.0,0.000825324999997,71
70,507.0,0.000877951999996,81
80,509.0,0.000987668999995,91
90,513.0,0.00108139099999,101
100,513.0,0.00112115899999,111
110,513.0,0.00116031299999,121
120,515.0,0.00119867099999,131
130,517.0,0.00123705399999,141
140,519.0,0.00129302899999,151
150,525.0,0.00135395999999,161
160,525.0,0.00140354299999,171
170,527.0,0.00158285799999,181
180,527.0,0.00163385199999,191
190,527.0,0.00170149299999,201
200,531.0,0.00175181899999,211
210,531.0,0.00179432999999,221
220,535.0,0.00186861499999,231
230,535.0,0.00190628199999,241
240,535.0,0.00194453499999,251
250,537.0,0.00199366999999,261
260,539.0,0.00204530099999,271
270,539.0,0.00209461299999,281
280,541.0,0.00237660499999,291
290,543.0,0.00255198099999,301
300,547.0,0.00259456699999,311
310,549.0,0.00263421799999,321
320,551.0,0.00281424399999,331
330,555.0,0.00287236899999,341
340,555.0,0.00296060699999,351
350,559.0,0.00301280599999,361
360,563.0,0.00305681599999,371
370,565.0,0.00349365599999,381
380,565.0,0.00354296599999,391
390,569.0,0.00358933199999,401
400,571.0,0.00362844299999,411
410,573.0,0.00366885499999,421
420,573.0,0.00400131299999,431
430,575.0,0.00407586599999,441
440,575.0,0.00427996199999,451
450,577.0,0.00434162099999,461
460,579.0,0.00448500599999,471
470,579.0,0.00456356699999,481
480,581.0,0.00461143199999,491
490,583.0,0.00465306199999,501
500,587.0,0.00469993099999,511
510,589.0,0.00474609799999,521
520,589.0,0.00479433799999,531
530,589.0,0.00484131399999,541
540,589.0,0.00487812499999,551
550,589.0,0.00491165199999,561
560,589.0,0.00494650499999,571
570,591.0,0.00563353899999,581
580,593.0,0.00581318299999,591
590,595.0,0.00586077399999,601
600,597.0,0.005909046,611
610,601.0,0.005960687,621
620,605.0,0.00601422,631
630,607.0,0.006144845,641
640,607.0,0.008878129,651
650,607.0,0.008915871,661
660,607.0,0.008952748,671
670,609.0,0.009050272,681
680,609.0,0.009208744,691
690,613.0,0.009260242,701
700,615.0,0.009490333,711
